Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Starter,Fuel control,Ignition,Gearbox,Transmission type,Clutch,Frame type,Rake (fork angle),Front suspension,Rear suspension,Diameter,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Electrical,Comments,Engine details,Lubrication system,Overall height,Overall length,Overall width,0-100 km/h (0-62 mph),Torque,Instruments,"Weight incl. oil, gas, etc",Driveline,Fuel consumption,Greenhouse gases,Valves per cylinder,Oil capacity,Alternate seat height,Carrying capacity,Exhaust system
Vespa VBB Sportique,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,80.0 km/h (49.7 mph),,,Carburettor,,,,,,,Two single seats,,,,,,4-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Dunstall,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, two-stroke",,,,,Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,Overhead Valves (OHV),,,Chain   (final drive),,,,,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,1410 mm (55.5 inches),,,,,,,,,,,,,,,,,,,,,
Balkan 50,1966,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,60.0 km/h (37.3 mph),,,Carburettor. Bing 12mm,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,60.0 kg (132.3 pounds),,,,,3-speed,Chain   (final drive),,,,,,,,,,10.00 litres (2.64 US gallons),Red/whte,,,,,,,,,,,,,,,,,,,
Ducati Diana Mark 3,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,,8.0:1,,Carburettor. DellÓrto,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,135.0 kg (297.6 pounds),0.1778 HP/kg,,Desmodromic valve control,,,Chain   (final drive),,,,Telescopic,Dual choks,,,,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,
Norton Jubilee,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Carburettor,Air,3.25-18 ,3.25-18 ,Expanding brake (drum brake). Single,,,,150.0 kg (330.7 pounds),0.0780 HP/kg,,,,,Chain   (final drive),,Single cradle,,Hydralic telescopic forks,Twin shock,,,,,,,,,Norton Dominator,,,,,,,,,,,,,,,,
Ducati 250 Diana ,1966,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7750 RPM,150.0 km/h (93.2 mph),8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto 29mm carbs,Air,2.75-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,135.0 kg (297.6 pounds),0.1407 HP/kg,,Desmodromic valve control,,,Chain   (final drive),,,,Hydralic telescopic forks,Dual choks,160 mm (6.3 inches),,,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1966,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,,Carburettor. Single Tilloston,Air,,,,,,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,,Sidevalves,Magneto Fairbanks-Morse,4-speed,,,,,Telescopic,Rigid,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G12,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,,,,Carburettor. Amal,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,Designer was Phil Walker,,,,,,,,,,,,,,,,,
Velocette Thruxton,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,9.1:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor,Air,3-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),,,Overhead Valves (OHV),Magneto,4-speed,Chain   (final drive),Wet multiplate,,,Hydralic telescopic forks,Twin shock,,,,,17.00 litres (4.49 US gallons),,,,,,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),,,,,,,,,,,,
Panther M 120,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Air,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,209.1 kg (461.0 pounds),0.1291 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic ,Swingarm ,,,,1499 mm (59.0 inches),,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Special,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.1 HP (5.2  kW)) @ 5550 RPM,80.5 km/h (50.0 mph),8.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,103.9 kg (229.0 pounds),0.0684 HP/kg,Kick,,,,,,,,,,,,,1290 mm (50.8 inches),,,,,,,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,,,,,,,,,,,
Moto Guzzi Falcone Sport,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 4300 RPM,,,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,4-speed,Chain   (final drive),Wet multiplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
