Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Oil capacity,Gearbox,Front tire,Rear tire,Wheels,Seat,Starter,Ignition,Overall height,Overall length,Overall width,Frame type,Front suspension,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Color options,Comments,Torque,Diameter,Electrical,Driveline,"Weight incl. oil, gas, etc",Carrying capacity,Valves per cylinder,Light,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Instruments,Rake (fork angle)
Horex Regina 350,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",,19.0 HP (13.9  kW)) @ 6250 RPM,,6.8:1,,Carburettor. Single Bing or amal,Overhead Valves (OHV),,Air,,,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),145.0 kg (319.7 pounds),0.1310 HP/kg,,18.00 litres (4.76 US gallons),,,,,,,,Magneto,,,,,Hydralic telescopic forks,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
Matchless G50,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,51.0 HP (37.2  kW)) @ 7200 RPM,,,,Carburettor,Single Overhead Cams (SOHC),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,150.0 kg (330.7 pounds),0.3400 HP/kg,,,,,,,,Single seat,,,,,,BSA,,,,,,,,This bike was also called the Golden Eagle.,,,,,,,,,,,,,,
KTM Mirabell 125,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,7.0 HP (5.1  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),0.0560 HP/kg,,,,,3.25-12 ,3.25-12 ,Alloy,Dual ,,,,,,Double  loop ,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Hummer,1956,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,80.5 km/h (50.0 mph),6.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,,,,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),77.1 kg (170.0 pounds),,1300 mm (51.2 inches),6.60 litres (1.74 US gallons),,,3.25-19 ,3.25-19 ,Spoked,Single spring-mounted,,Magneto,,,,,Girder-rubber springs,,,,,,,,,,,,,,,,,,,,,
Douglas Dragonfly,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Twin, four-stroke",,17.0 HP (12.4  kW)) @ 5500 RPM,,,,Carburettor,Overhead Valves (OHV),,,Chain   (final drive),,Hydraulic shock absorber,Expanding brake (drum brake),Expanding brake (drum brake),166.0 kg (366.0 pounds),0.1024 HP/kg,,25.00 litres (6.61 US gallons),,,,,Spoked,Dual ,,Coil,,,,Tubular  duplex cradle,Leading link,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
Victoria Bergmeister,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"V2, four-stroke",,21.0 HP (15.3  kW)) @ 6300 RPM,,7.5:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Carburettor,,,Air,Shaft drive (cardan)   (final drive),Dry plate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,3.25-19 ,3.25-19 ,Spoked,Dual seat,,,,,,Duplex cradle,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,
Sunbeam S8 500,1956,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,,6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Single Overhead Cams (SOHC),Wet sump,Oil & air,Shaft drive (cardan)   (final drive),Dry singleplate,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,,Spoked,Two single seats,,,,,,Twin cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1956,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),,62.0 x 57.0 mm (2.4 x 2.2 inches),Carburettor. DellÓrto,,,,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),109.0 kg (240.3 pounds),0.1009 HP/kg,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),,4-speed,2.50-18 ,3.00-19 ,Spoked,Dual seat,,,,,,,Telescopic fork,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,28.0 HP (20.4  kW)) @ 4700 RPM,,,75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,4-speed,3.50-19 ,3.50-19 ,Spoked,Two single seats,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601 Kardan Sport,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,34.0 HP (24.8  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),,,Carburettor. Bing ,Overhead Valves (OHV),,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),216.0 kg (476.2 pounds),0.1574 HP/kg,,14.50 litres (3.83 US gallons),,4-speed,3.50-19 ,3.50-19 ,Spoked,Two single seats,Kick,,,,,Tubular,Telescopic,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 201,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",,12.0 HP (8.8  kW)) @ 5900 RPM,,7.0:1,61.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,Two shock,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0916 HP/kg,,13.50 litres (3.57 US gallons),,4-speed,1.85-19 ,1.85-19 ,Spoked,Single ,,Magneto,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Single cradle,Hydraulic telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
Sunbeam S7 500,1956,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Overhead Cams (OHC),Wet sump,Oil & air,Shaft drive (cardan)   (final drive),Dry singleplate,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),194.0 kg (427.7 pounds),0.1237 HP/kg,,,,,4.50-16 ,4.50-16 ,Spoked,Single ,Kick,,,,,Twin cradle,Telescopic,,,,,,"Black/ green
",,,,,,,,,,,,,,,
Panther 75 Springer,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,,6.7:1,71.0 x 88.0 mm (2.8 x 3.5 inches),Carburettor,,,Air,Chain   (final drive),Dry multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,4-speed,3.25-19 ,3.25-19 ,Spoked,,Kick,Magneto,,,,Single cradle,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,
Ariel HT5 500,1956,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.9 HP (18.2  kW)) @ 6000 RPM,,,,Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,"Swing arm, hydraulic dampers",Expanding brake (drum brake),Expanding brake (drum brake),132.0 kg (291.0 pounds),0.1889 HP/kg,,,,4-speed,2.75-21 ,4.00-19 ,Wire spoked,Solo seat,Kick,,,,,Single cradle,Telescopic fork,,,1-into-1 pipe,,220 mm (8.7 inches),Silver/red/black,Also called Ariel HT5 Red Hunter Trials,,,,,,,,,,,,,,
DKW Hummel,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,40.0 km/h (24.9 mph),6.5:1,,Carburettor. Bing ,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Spoked,Single ,,,,,,Pressed steel ,,,,,,,,,,,,,,,49,,,,,,,
Velocette Venom,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,34.0 HP (24.8  kW)) @ 6200 RPM,161.0 km/h (100.0 mph),8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Overhead Valves (OHV),Wet sump ,Air,Chain   (final drive),Dry-three plate,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),177.0 kg (390.2 pounds),0.1921 HP/kg,1391 mm (54.8 inches),13.60 litres (3.59 US gallons),,,3.25-19 ,3.25-19 ,,Dual seat,Kick,Belt driven dynamo,,,,,Telescopic,,,Single,,,Black with gold pin striping,It was produced 5721 units of this bike.,,,,,,,,,,,,,,27.0°
Moto Guzzi Falcone Sport,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1353 HP/kg,,17.00 litres (4.49 US gallons),,4-speed,3.25-19 ,3.50-19 ,Spoked,Two single seats,,,,,,,Telescopic,,,,,,,,,200 mm (7.9 inches),,,,,,,,,,,,
Velocette Mac ,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,,,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),161.0 kg (354.9 pounds),0.1118 HP/kg,1276 mm (50.2 inches),,,4-speed,3.25-19 ,3.50-19 ,,,,,,,,,,,,,,,,,,152 mm (6.0 inches),,,,,,,,,,,,
DKW Hobby Luxus,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,74.0 ccm (4.52 cubic inches),"Single cylinder, two-stroke",,3.0 HP (2.2  kW)) @ 5000 RPM,60.0 km/h (37.3 mph),6.1:1,45.0 x 47.0 mm (1.8 x 1.9 inches),Carburettor. Bing ,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,2.50-16 ,2.50-16 ,,Two single seats,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
