Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Top speed,Fuel control,Rear brakes,Wheels,Seat height,Wheelbase,Ignition,Clutch,Fuel consumption,Greenhouse gases,Lubrication system,Gearbox,Diameter,"Weight incl. oil, gas, etc",Color options,Exhaust system,Modifications compared to previous model,Ground clearance,Carrying capacity,Alternate seat height,Oil capacity,Electrical,Comments,0-100 km/h (0-62 mph),Driveline,Valves per cylinder,Torque
Ariel Arrow Super Sport 250,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",,20.0 HP (14.6  kW)) @ 6500 RPM,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal,Air,Chain   (final drive),Rigid box section frame,Trailing link fork,"Swing arm, twin shock absorbers/dampers",3.25-16 ,3.25-16 ,Expanding brake (drum brake),Dual seat,131.5 kg (290.0 pounds),0.1520 HP/kg,,,,11.36 litres (3.00 US gallons),Kick,126.0 km/h (78.3 mph),,Expanding brake (drum brake),Wire spoked. Dunlop whitewall tres.,"760 mm (29.9 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),Lucas.,Multi plate,3.36 litres/100 km (29.8 km/l or 70.01 mpg),78.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4-speed,152 mm (6.0 inches),,White/gold,2-into-2,,,,,,6V battery. ,Windshield.,,,,
Maico Blizzard 277,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,Chain   (final drive),Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Dual ,,,,,,,Kick,,,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,,5-speed,,,,,,,,,,,,,,,
AJS Model 18 500 Statesman,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,,,86.0 x 85.5 mm (3.4 x 3.4 inches),Carburettor,Air,Chain   (final drive),Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),,172.0 kg (379.2 pounds),,,,,16.00 litres (4.23 US gallons),Kick,,,Expanding brake (drum brake),Spoked,,1397 mm (55.0 inches),Bobine,Wet multiplate,,,,,,,,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",,16.0 HP (11.7  kW)) @ 6500 RPM,8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Air,Chain   (final drive),Single cradle,Telescopic,Two shock,2.50-17 ,3-17 ,Expanding brake (drum brake). Simplex,Dual ,115.0 kg (253.5 pounds),0.1391 HP/kg,980 mm (38.6 inches),1970 mm (77.6 inches),700 mm (27.6 inches),14.00 litres (3.70 US gallons),Kick,130.0 km/h (80.8 mph),,Expanding brake (drum brake). Simplex,Spoked,,,Bobine,Wet multiplate,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,
NSU Prima V,1962,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,9.5 HP (6.9  kW)) @ 5200 RPM,,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,Air,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Two single seats,138.0 kg (304.2 pounds),0.0688 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,Electric,,,Expanding brake (drum brake),Spoked,,,Battery,,,,,4-speed,,,,,,,,,,,,,,,
Vespa Gran Sport,1962,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,160.0 ccm (9.76 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor. DellÓrto,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Dual ,110.0 kg (242.5 pounds),,1045 mm (41.1 inches),1795 mm (70.7 inches),,,Kick,,,Expanding brake (drum brake),Spoked,,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,100.00 seconds,,,
Harley-Davidson XLCH Sportster,1962,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,50.0 HP (36.5  kW)) @ 6300 RPM,,,Carburettor,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Single seat,,,,,,,,193.1 km/h (120.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,205.0 kg (451.9 pounds),,,,,,,,,,,,,
Raleigh Supermatic RM5,1962,Sport," 2.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,Leading link,Swingarm ,,,Expanding brake (drum brake),Dual ,,,,,,,,48.0 km/h (29.8 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 99SS,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,,7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor,,Chain   (final drive),Down tube-single,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Dual ,,,,,,16.00 litres (4.23 US gallons),,163.0 km/h (101.3 mph),Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,1410 mm (55.5 inches),,,,,,,,,,,,,,,,,,,,,
Triumph 3TA,1962,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,,,Carburettor. Amal,,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Dual seat,156.5 kg (345.0 pounds),,,,,,,,,Expanding brake (drum brake),,,,,,,,Dry sump,,,,,,,,,,,,,,,,
Harley-Davidson Bobcat ,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,60.3 x 61.1 mm (2.4 x 2.4 inches),Carburettor,,Chain   (final drive),,Hydraulic ,Swingarm ,,,Expanding brake (drum brake),Single spring-mounted,,,,,,,,96.6 km/h (60.0 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Chimera 175,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,,7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,Air,Chain   (final drive),Single cradle,Telescopic,,2.50-17 ,2.50-17 ,Expanding brake (drum brake),Dual ,122.0 kg (269.0 pounds),,,,,,Kick,110.0 km/h (68.4 mph),,Expanding brake (drum brake),Spoked,,,Bobine,Wet multiplate,,,,4-speed,,,,,,,,,,,,,,,
Mustang Thoroughbred,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,320.0 ccm (19.53 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,,,Swingarm ,,,,Dual ,,,,,,,,97.0 km/h (60.3 mph),Sidevalves,,,,,,,,,,4-speed,,,,,,,,,,,,,,,
Matchless G3 CSR 350,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,,6.5:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,Air,Chain   (final drive),Single cradle,Telescopic,Swinging arm- two shocks-coil springs,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Dual ,179.0 kg (394.6 pounds),,,,,19.30 litres (5.10 US gallons),,129.0 km/h (80.2 mph),,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,Dry sump,4-speed,,,Black-Red,,,,,,,,,,,,
Ariel Golden Arrow,1962,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, two-stroke",,16.0 HP (11.7  kW)) @ 6400 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal monobloc 375,Air,Chain   (final drive),"Backbone, steel","Trailing link, oil-damped",Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Dual seat,150.0 kg (330.7 pounds),0.1067 HP/kg,,,,9.00 litres (2.38 US gallons),,132.0 km/h (82.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),Wire spoked,"762 mm (30.0 inches) If adjustable, lowest setting.",1295 mm (51.0 inches),,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4-speed,152 mm (6.0 inches),,White/gold,,,,,,,,Designed by Val Page.,,,,
AJS Model 16 350 Spectre,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,Chain   (final drive),Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Dual ,171.0 kg (377.0 pounds),,,,,17.00 litres (4.49 US gallons),,,Overhead Valves (OHV),Expanding brake (drum brake),,,,Magneto,Wet multiplate,,,,4-speed,,,,,,,,,,,,,,,
Honda Dream Sport CE71,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, two-stroke",Double twin cylinder arranged as a square. ,,,,,,,Steel ,Leading link ,,,,,Dual seat,,,,,,,,40.2 km/h (25.0 mph),,,,,,,,,,Dry sump,,,,,Low sport pipes,These bikes were exported to US and Europa. Just over 400 was produced and then thet werw all recalled.,,,,,,,,,,
Moto Guzzi Galetto,1962,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,Chain   (final drive),,Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),Single ,,,,,,,Electric,,Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,,,Multiplate,,,,4-speed,,,,,,,,,,,,,,,
Hercules K 103,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,7.0 HP (5.1  kW)) @ 5750 RPM,,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,Air,Chain   (final drive),Single cradle,,Swingarm ,3-16 ,3-16 ,Expanding brake (drum brake),Dual ,99.0 kg (218.3 pounds),0.0707 HP/kg,,,,,,90.0 km/h (55.9 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi H-D 250 Ala Azzurra,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,13.7 HP (10.0  kW)) @ 6500 RPM,7.0:1,,Carburettor,Air,,Single cradle,Telescopic ,Swingarm-two shocks,2.50-17 ,3-17 ,Expanding brake (drum brake). Simplex,Dual ,114.0 kg (251.3 pounds),0.1202 HP/kg,950 mm (37.4 inches),1920 mm (75.6 inches),700 mm (27.6 inches),18.00 litres (4.76 US gallons),Kick,125.0 km/h (77.7 mph),,Expanding brake (drum brake). Simplex,Spoked,,,,Wet multiplate,,,Bobine,4-speed,160 mm (6.3 inches),,,,,,,,,,,,,,
Cushman Eagle,1962,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,Belt   (final drive),,,,,,Single disc,Single spring-mounted,,,,,,,,84.0 km/h (52.2 mph),,Single disc,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,
Maico Maicoletta,1962,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,61.0 x 59.5 mm (2.4 x 2.3 inches),Carburettor,,Chain   (final drive),Tubular steel,Telescopic,Swingarm ,,,Expanding brake (drum brake),Dual ,,,,,,,,,,Expanding brake (drum brake),Spoked,,,,Enclosed ,,,,,,,,,,,,,,,,,,,
NSU Quickly S2 23,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,Expanding brake (drum brake),Dual ,,,,,,,,43.0 km/h (26.7 mph),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III ,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",,7.7 HP (5.6  kW)) @ 5200 RPM,6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor. Bing,Air,Shaft drive (cardan)   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Two single seats,131.0 kg (288.8 pounds),0.0588 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),12.00 litres (3.17 US gallons),Electric,84.0 km/h (52.2 mph),,Expanding brake (drum brake),Spoked,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4-speed,,,,,,,,,,,,,,,
BMW R50 2,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,26.0 HP (19.0  kW)) @ 5800 RPM,7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Air,Shaft drive (cardan)   (final drive),Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake). Duplex full hub,Dual seat,,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),17.00 litres (4.49 US gallons),Kick,140.0 km/h (87.0 mph),Overhead Valves (OHV),Expanding brake (drum brake). Simplex full hub,,,1415 mm (55.7 inches),Magneto,Dry-single plate-cable operated,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,4-speed,200 mm (7.9 inches),195.0 kg (429.9 pounds),,,,,360kg-with sidecar 600kg,,,,,,,,
Honda Juno M80,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,169.0 ccm (10.31 cubic inches),"Twin, four-stroke",,11.0 HP (8.0  kW)) @ 9000 RPM,,,Carburettor,,,,,,,,,Two single seats,146.0 kg (321.9 pounds),0.0753 HP/kg,1030 mm (40.6 inches),1810 mm (71.3 inches),675 mm (26.6 inches),,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,100.00 seconds,,,
Hercules R 200,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",,10.2 HP (7.4  kW)) @ 5250 RPM,,65.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing 24mm,Air,Chain   (final drive),,,,,,,Dual ,144.0 kg (317.5 pounds),0.0708 HP/kg,,,,,Electric,98.0 km/h (60.9 mph),,,,,,,,,,,4-speed,,,,,,,,,,,,,,,
Triumph T120 C Bonneville,1962,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,46.0 HP (33.6  kW)) @ 6500 RPM,8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Air,Chain   (final drive),Duplex frame,"Telescopic fork, hydraulic damping.","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-18 ,4.00-18 ,Expanding brake (drum brake),Dual seat,178.0 kg (392.4 pounds),0.2584 HP/kg,,,,15.14 litres (4.00 US gallons),,185.0 km/h (115.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),Wire spoked,"770 mm (30.3 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),Lucas K2F auto-advance Magneto,"Multi-plate, wet",,,,4-speed,178 mm (7.0 inches),,Flame orange/Sliver Sheen,,,127 mm (5.0 inches),,,,Lucas RM19 alternator,Competition model with high-level exhaust pipes.,,,,
Harley-Davidson KR 750,1962,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,46.0 HP (33.6  kW)) @ 6500 RPM,,,Carburettor. Single Tilloston,Air,,,Telescopic,Rigid,,,,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,177.0 km/h (110.0 mph),Sidevalves,,Spoked,,,Magneto Fairbanks-Morse,,,,,4-speed,,,,,,,,,,,,,,,
NSU Supermax,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 6500 RPM,,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing HD 2/26,Air,Chain   (final drive),Steel,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,174.0 kg (383.6 pounds),0.1034 HP/kg,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),14.00 litres (3.70 US gallons),Kick,126.0 km/h (78.3 mph),,Expanding brake (drum brake),Spoked,,,,Dry multiplate,,,,4-speed,,,,,,,,,,,,,,,
Maico Blizzard 247,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,Chain   (final drive),Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Dual ,,,,,,,Kick,115.0 km/h (71.5 mph),,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,,5-speed,,,,,,,,,,,,,,,
Ducati 175 Sport TS,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,8.0 HP (5.9  kW)) @ 7500 RPM,7.0:1,,Carburettor. DellÓrto UB22.5,Air,Chain   (final drive),,Telescopic,Dual choks,2.50-18 ,2.75-18 ,Expanding brake (drum brake),,,,,,,,,110.0 km/h (68.4 mph),Single Overhead Cams (SOHC),Expanding brake (drum brake),,,,,,,,,,138 mm (5.4 inches),,,,,,,,,,,,,,
Norton Manx,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,47.0 HP (34.3  kW)) @ 6500 RPM,,,Carburettor. NA,Air,Chain   (final drive),Steel,Telescopic fork,Swingarm ,,,Expanding brake (drum brake),,140.0 kg (308.6 pounds),0.3357 HP/kg,,,,,,210.0 km/h (130.5 mph),Double Overhead Cams/Twin Cam (DOHC),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,
Ducati Elite,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 7500 RPM,8.5:1,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. Dellorto UB 24,Air,Chain   (final drive),Single open cradle in steel tubing,Telescopic fork,Swinging arm suspension ,2.75-18 ,3.25-18 ,Expanding brake (drum brake),Dual seatt,118.0 kg (260.1 pounds),0.1525 HP/kg,,,,,,140.0 km/h (87.0 mph),Overhead Cams (OHC),Expanding brake (drum brake),,,,Mageneto flywhel,Wet multiplate,,,Forced wet sump,,160 mm (6.3 inches),,,,,,,,,,,,,,
Aermacchi Ala Bianca 175,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.2 ccm (10.63 cubic inches),"Single cylinder, four-stroke",,9.4 HP (6.9  kW)) @ 6500 RPM,,,Carburettor. DellÓrto,Air,Chain   (final drive),Single cradle,Telescopic ,Swingarm-two shocks,2.50-17 ,2.75-17 ,Expanding brake (drum brake),Dual ,110.0 kg (242.5 pounds),0.0855 HP/kg,,,,17.00 litres (4.49 US gallons),Kick,,,Expanding brake (drum brake). Simplex,Spoked,,,,Wet multiplate,,,Bobine,4-speed,,,,,,,,,,,,,,,
Ducati Diana Mark 3,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 7500 RPM,8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic,Dual choks,2.75-18 ,3.00-18 ,Expanding brake (drum brake),,135.0 kg (297.6 pounds),0.1778 HP/kg,,,,13.00 litres (3.43 US gallons),Kick,150.0 km/h (93.2 mph),Desmodromic valve control,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,34.0 HP (24.8  kW)) @ 6200 RPM,8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Dual seat,177.0 kg (390.2 pounds),0.1921 HP/kg,,,,,,160.9 km/h (100.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,1391 mm (54.8 inches),Belt driven dynamo,Dry-three plate,,,Wet sump ,,,,,,,,,,,,,,,,
Velocette Valiant,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",,12.0 HP (8.8  kW)) @ 6000 RPM,8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Air,Shaft drive (cardan)   (final drive),,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),,116.0 kg (255.7 pounds),0.1034 HP/kg,,,,12.00 litres (3.17 US gallons),,110.0 km/h (68.4 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,130 mm (5.1 inches),,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",,16.0 HP (11.7  kW)) @ 6500 RPM,8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,Air,Chain   (final drive),Single cradle,Telescopic -Geriani,Swingarm-two shocks,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,Dual ,114.0 kg (251.3 pounds),0.1404 HP/kg,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),17.00 litres (4.49 US gallons),Kick,140.0 km/h (87.0 mph),,Expanding brake (drum brake). Simplex,Spoked,,1270 mm (50.0 inches),,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,
Harley-Davidson AH Topper-Scooter,1962,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",,,8.0:1,60.0 x 58.0 mm (2.4 x 2.3 inches),,,,,Leading link,Swingarm with two extension springs,4-12 ,4-12 ,Expanding brake (drum brake),,,,,,,6.00 litres (1.59 US gallons),,74.0 km/h (46.0 mph),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR Flat Tracker,1962,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"Twin, four-stroke",,,,,Carburettor. Linkert,Air,Chain   (final drive),,,,,,,,,,,,,,,,Sidevalves,,,,,Magneto,Unit,,,,4-speed,,,,,,,,,,,,,,,
Agrati Capri 50,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",Sachs,1.3 HP (1.0  kW)) @ 5500 RPM,,38.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor,Air,Chain   (final drive),,,Swingarm ,,,Expanding brake (drum brake),,67.0 kg (147.7 pounds),0.0200 HP/kg,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Honda Dream 305,1962,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, two-stroke",,23.0 HP (16.8  kW)) @ 7500 RPM,,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Air,Chain   (final drive),,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,159.0 kg (350.5 pounds),0.1447 HP/kg,,,,,,138.4 km/h (86.0 mph),Overhead Cams (OHC),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,"Early model
The shape of the gastank was different",,,,
Triumph T 25 T,1962,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,Chain   (final drive),,,,,,Expanding brake (drum brake),,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,2,
Honda Juno M85,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,169.0 ccm (10.31 cubic inches),"Twin, four-stroke",,12.0 HP (8.8  kW)) @ 7600 RPM,,,Carburettor,,Chain   (final drive),,,,,,,Two single seats,157.0 kg (346.1 pounds),0.0764 HP/kg,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,100.00 seconds,,,
AJS Model 14 250,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,17.0 HP (12.4  kW)) @ 7250 RPM,7.8:1,69.9 x 64.9 mm (2.8 x 2.6 inches),Carburettor,Air,Chain   (final drive),Open tubular steel,Telescopic,Swingarm-two shocks,3.25-17 ,3.25-17 ,Expanding brake (drum brake),Dual ,149.0 kg (328.5 pounds),0.1141 HP/kg,,,,12.50 litres (3.30 US gallons),Kick,,Overhead Valves (OHV),Expanding brake (drum brake),Spoked,"760 mm (29.9 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),,Wet multiplate,,,,,152 mm (6.0 inches),,"Blue, black",,,140 mm (5.5 inches),,,,,,,,,
