Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Max RPM,Fuel system,Starter,Torque,Lubrication system,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Color options,Ignition,Clutch,Exhaust system,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Front wheel travel,Rear wheel travel,Overall height,Overall width,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,Instruments,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Sprockets,Belt teeth,Belt width,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Alternate seat height,Ground clearance,Comments,Trail,Coolant,Chain size,Chain links
Harley-Davidson FLHS 1340 Electra Glide Sport (reduced effect),1992,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,343.0 kg (756.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 1100,1992,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 8000 RPM,9.1:1,73.5 x 62.6 mm (2.9 x 2.5 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-18 ,160/70-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),19.00 litres (5.02 US gallons),207.0 km/h (128.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1992,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5200 RPM,8.5:1,94.0 x 94.0 mm (3.7 x 3.7 inches),4,Overhead Cams (OHC),Air,4-speed,Belt   (final drive),100/90-19 ,140/80-15 ,Single disc,Expanding brake,171.0 kg (377.0 pounds),11.00 litres (2.91 US gallons),127.0 km/h (78.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 301,1992,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 5500 RPM,10.0:1,75.5 x 65.0 mm (3.0 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),90/90-18 ,110/80-16 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),17.00 litres (4.49 US gallons),132.0 km/h (82.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TW 200 Electric,1992,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,9.5:1,67.0 x 55.7 mm (2.6 x 2.2 inches),2,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),130/80-18-66P ,180/80-14 M/C 78P ,Expanding brake (drum brake),Expanding brake (drum brake),126.0 kg (277.8 pounds),7.00 litres (1.85 US gallons),120.0 km/h (74.6 mph),9000,Carburettor. Keihin 28 mm,Electric,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 7000 RPM,Wet dump,33mm telescopic front fork with 6.3 inches of travel soaks up the bumps for a plush ride.,Lightweight box section swingarm and single rear shock,,118.0 kg (260.1 pounds),0.1356 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2135 mm (84.1 inches),1320 mm (52.0 inches),,CDI,Wet plate,1:1 Steel pipes,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,160 mm (6.3 inches),150 mm (5.9 inches),1120 mm (44.1 inches),820 mm (32.3 inches),1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,5.00 seconds,14.00 seconds,55.0,45.0,"800 mm (31.5 inches) If adjustable, highest setting.",265 mm (10.4 inches),,,,,
Honda XL 600 V Transalp (reduced effect),1992,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650,1992,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,9.0:1,100.0 x 83.0 mm (3.9 x 3.3 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-19 ,140/70-17 ,Single disc,Single disc,191.0 kg (421.1 pounds),14.00 litres (3.70 US gallons),157.0 km/h (97.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 4700 RPM,6.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),14.50 litres (3.83 US gallons),120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 610 TE (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,10.2:1,98.0 x 76.5 mm (3.9 x 3.0 inches),4,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,140/90-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),9.00 litres (2.38 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 (reduced effect),1992,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 7900 RPM,9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Dual disc,Single disc,233.0 kg (513.7 pounds),20.00 litres (5.28 US gallons),174.0 km/h (108.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 13 T,1992,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1293.0 ccm (78.90 cubic inches),"V4, four-stroke",97.0 HP (70.8  kW)) @ 7000 RPM,10.5:1,79.0 x 66.0 mm (3.1 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,140/90-16 ,Dual disc,Single disc,348.0 kg (767.2 pounds),20.00 litres (5.28 US gallons),196.0 km/h (121.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K,1992,Trial," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GB 500 Clubman,1992,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7500 RPM,8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Single disc,Expanding brake,179.0 kg (394.6 pounds),16.50 litres (4.36 US gallons),166.0 km/h (103.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750 R (reduced effect),1992,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,11.5:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),239.0 km/h (148.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 750 R (reduced effect),1992,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11250 RPM,11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),130/70-17 ,180/55-17 ,Dual disc,Single disc,215.0 kg (474.0 pounds),20.00 litres (5.28 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere,1992,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Standard B (with sidecar),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTC 1340 Softail Custom,1992,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 350,1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6800 RPM,10.0:1,79.5 x 70.4 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy,1992,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),16.00 litres (4.23 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Daytona,1992,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 R,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 7000 RPM,6.7:1,56.0 x 50.7 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Single disc,Single disc,119.0 kg (262.4 pounds),10.00 litres (2.64 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1992,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),221.0 km/h (137.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800 (reduced effect),1992,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/70-17 ,Single disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),168.0 km/h (104.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750 (reduced effect #2),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Dual disc,Single disc,220.0 kg (485.0 pounds),17.00 litres (4.49 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1992,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1992,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),20/70-17 ,170/60-17 ,Dual disc,Single disc,254.0 kg (560.0 pounds),21.00 litres (5.55 US gallons),235.0 km/h (146.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 1000 GTR,1992,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 9000 RPM,10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/80-16 ,Dual disc,Single disc,307.0 kg (676.8 pounds),28.50 litres (7.53 US gallons),195.0 km/h (121.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 S,1992,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/100-21 ,110/90-18 ,Single disc,Single disc,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),126.0 km/h (78.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F,1992,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 11000 RPM,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),215.0 km/h (133.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingfu XF 125,1992,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,9.0:1,56.6 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),8.50 litres (2.25 US gallons),97.0 km/h (60.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,1992,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1179.0 ccm (71.94 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 9000 RPM,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,267.0 kg (588.6 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,1992,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",884.0 ccm (53.94 cubic inches),"In-line three, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),25.00 litres (6.61 US gallons),230.0 km/h (142.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Tengai (reduced effect),1992,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-1.7 ,Single disc,Single disc,190.0 kg (418.9 pounds),23.00 litres (6.08 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 750 R,1992,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 12000 RPM,11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),130/70-17 ,180/55-17 ,Dual disc,Single disc,215.0 kg (474.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SHC,1992,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/100-21 ,110/90-18 ,Single disc,Single disc,146.0 kg (321.9 pounds),9.00 litres (2.38 US gallons),126.0 km/h (78.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,1992,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,264.0 kg (582.0 pounds),22.00 litres (5.81 US gallons),235.0 km/h (146.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200,1992,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5200 RPM,9.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Single disc,Single disc,226.0 kg (498.2 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 350 WR,1992,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,13.5:1,78.0 x 73.0 mm (3.1 x 2.9 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,103.0 kg (227.1 pounds),8.30 litres (2.19 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
