Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Power,Top speed,Power/weight ratio,Diameter,Overall height,Overall length,Overall width,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Reserve fuel capacity,Oil capacity,Color options,Electrical,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Carrying capacity,0-100 km/h (0-62 mph),Valves per cylinder,Comments,Torque,Light
Norton Dominator 99SS,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,Overhead Valves (OHV),Coil,,,Chain   (final drive),,Down tube-single,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,16.00 litres (4.23 US gallons),Kick,31.0 HP (22.6  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),,,,,,,1410 mm (55.5 inches),,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,
Harley-Davidson Hummer,1957,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",6.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,,,,,,Girder-rubber springs,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,77.1 kg (170.0 pounds),6.60 litres (1.74 US gallons),,,80.5 km/h (50.0 mph),,,,,,,1300 mm (51.2 inches),,,,,,,,,,,,,,,,,,,
Ardie BD 175,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,,Chain   (final drive),,,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,108.0 kg (238.1 pounds),,,9.0 HP (6.6  kW)) @ 5600 RPM,95.0 km/h (59.0 mph),0.0833 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1957,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta 125M,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,3.5-7 ,"3,5-7 ",Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,54.9 kg (121.0 pounds),,Electric,4.1 HP (3.0  kW)) @ 4500 RPM,67.6 km/h (42.0 mph),0.0747 HP/kg,,,,,5%,,,,,,,,,,,,,,,,,,,,
DKW Hummel,1957,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",6.5:1,,Carburettor. Bing ,,,Air,,Chain   (final drive),,Pressed steel ,,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,,40.0 km/h (24.9 mph),,,,,,,,,,,,,,,,,,,,,,,49,,,
Zündapp Bella R154,1957,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,,Carburettor. Bing ,,,Air,4-speed,,,,,,3-12 ,3.5-12 ,,,Spoked,Dual ,137.0 kg (302.0 pounds),,,7.3 HP (5.3  kW)) @ 4700 RPM,75.0 km/h (46.6 mph),0.0533 HP/kg,,,,,,,,,,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,
Matchless G50,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Air,,Chain   (final drive),,BSA,,,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,Single seat,150.0 kg (330.7 pounds),,,51.0 HP (37.2  kW)) @ 7200 RPM,,0.3400 HP/kg,,,,,,,,,,,,,,,,,,,,,,,This bike was also called the Golden Eagle.,,
DKW RT 200 S,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",6.3:1,68.0 x 58.0 mm (2.7 x 2.3 inches),Carburettor,,,Air,,Chain   (final drive),,,Telescopic ,Swingarm ,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,131.0 kg (288.8 pounds),,,11.0 HP (8.0  kW)) @ 5000 RPM,98.0 km/h (60.9 mph),0.0840 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Panther 75 Springer,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",6.7:1,71.0 x 88.0 mm (2.8 x 3.5 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Dry multiplate,Single cradle,Hydraulic telescopic,Swingarm ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial FB 250,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,Air,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 175 VS,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",6.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing ,,,Air,4-speed,Chain   (final drive),,,Telescopic ,Swingarm ,3.00-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,130.0 kg (286.6 pounds),,,9.6 HP (7.0  kW)) @ 5000 RPM,101.0 km/h (62.8 mph),0.0738 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Mirabell,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,54.0 x 59.0 mm (2.1 x 2.3 inches),Carburettor,,,,3-speed,Chain   (final drive),,Double  loop ,Swingarm with shock absorbers,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),Electric,8.0 HP (5.8  kW)) @ 5500 RPM,85.0 km/h (52.8 mph),0.0640 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 176,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",7.0:1,61.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,124.0 kg (273.4 pounds),13.50 litres (3.57 US gallons),,10.5 HP (7.7  kW)) @ 5600 RPM,,0.0847 HP/kg,180 mm (7.1 inches),,2030 mm (79.9 inches),,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,61.0 x 59.5 mm (2.4 x 2.3 inches),Carburettor,,,,,Chain   (final drive),Enclosed ,Tubular steel,Telescopic,Swingarm ,,,"Expanding brake (drum brake). 6,5inches",Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 65 Turismo,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,Telescopic,,2.25-20 ,2.25-20 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,55.0 kg (121.3 pounds),,Kick,,56.0 km/h (34.8 mph),,,910 mm (35.8 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1957,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),Magneto,,,Chain   (final drive),Single speed,,,,,,Expanding brake (drum brake),,,Single seat,,,,,323.5 km/h (201.0 mph),,,,,,,,,,136.1 kg (300.0 pounds),,,,,Multicolored white/blue/red,,,,,,,,,,,
Adler Junior 100 Luxus,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,70.0 km/h (43.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,,4-speed,Chain   (final drive),,,Telescopic,Swingarm,3-16 ,3.50-16 ,,,Spoked,Dual ,150.0 kg (330.7 pounds),13.00 litres (3.43 US gallons),,16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),0.1100 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,
Harley-Davidson XLCH Sportster,1957,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,50.0 HP (36.5  kW)) @ 6300 RPM,193.1 km/h (120.0 mph),,,,,,,,45-degree V-twin,,205.0 kg (451.9 pounds),,,,,,,,,,,,,,,,
Triumph 3TA,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,,,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,156.5 kg (345.0 pounds),,,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,,,,
Sparta 250 Twin,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Twin, two-stroke",,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Magneto,Air,,,,,Telescopic,Twin shock-Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Superfox,1957,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,Overhead Cams (OHC),,Air,,Chain   (final drive),,,,,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,8.8 HP (6.4  kW)) @ 6500 RPM,,,,950 mm (37.4 inches),1987 mm (78.2 inches),645 mm (25.4 inches),,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,,,,,Dry sump,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,
James Commodore 250,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor. Amal,,,Air,4-speed,Chain   (final drive),,,Hydraulic telescopic,Swingarm-two shocks,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601,1957,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),,Air,4-speed,,,,Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,Kick,28.0 HP (20.4  kW)) @ 4700 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R26,1957,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel loop-welded,Cartridge,Twin shock-Swingarm,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,15.00 litres (3.96 US gallons),Kick,15.0 HP (10.9  kW)) @ 6400 RPM,128.0 km/h (79.5 mph),,160 mm (6.3 inches),975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),Wet sump ,975 mm (38.4 inches),,,158.0 kg (348.3 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",105 mm (4.1 inches),,,,,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,325kg,,,90Kph is the top speed with original sidecar.,,
Adler ISDT,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",6.6:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Bing,,Battery,Air,,Chain   (final drive),Enclosed ,,Twin swining link,Shock absorbers-plunger,3.25-16 ,3.25-16 ,,,Spoked,Single ,,12.00 litres (3.17 US gallons),,18.0 HP (13.1  kW)) @ 5590 RPM,125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Rikuo RT 2,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,Carburettor. Linkert,Sidevalves,Generator and battery,Air,4-speed,,Four speed ,,Telescopic,,,,,,,,230.0 kg (507.1 pounds),,,22.0 HP (16.1  kW)) @ 4250 RPM,,0.0957 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Golden Flash,1957,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,,,Air,,Chain   (final drive),,,Hydralic telescopic forks,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,190.0 kg (418.9 pounds),19.00 litres (5.02 US gallons),,35.0 HP (25.5  kW)) @ 4500 RPM,,0.1842 HP/kg,,,2130 mm (83.9 inches),,,,,,,,,,,,,,,,,,,,,,
Horex Resident,1957,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",7.1:1,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Hydralic telescopic forks,Twin shock,3.50-18 ,3.5-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,150.0 kg (330.7 pounds),,Kick,17.5 HP (12.8  kW)) @ 6250 RPM,130.0 km/h (80.8 mph),0.1167 HP/kg,150 mm (5.9 inches),980 mm (38.6 inches),2000 mm (78.7 inches),860 mm (33.9 inches),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL Sportster,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,72.8 x 96.8 mm (2.9 x 3.8 inches),Carburettor. Linkert,Overhead Valves (OHV),,,4-speed,Chain   (final drive),,,,,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,42.0 HP (30.7  kW)) @ 5500 RPM,162.0 km/h (100.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot S157,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),,,,Air,,Chain   (final drive),,Tubular,Traveling link,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,6.25 litres (1.65 US gallons),,6.6 HP (4.8  kW)) @ 4500 RPM,89.0 km/h (55.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1957,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,113.4 kg (250.0 pounds),,,10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),0.0882 HP/kg,,,,,Dry sumpy,1245 mm (49.0 inches),Amal monobloc carburettor,,,,,,,,,,,,,,,,,,
Hercules A 175,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,Swingarm ,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,140.0 kg (308.6 pounds),11.50 litres (3.04 US gallons),Kick,9.3 HP (6.8  kW)) @ 5250 RPM,90.0 km/h (55.9 mph),0.0664 HP/kg,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Horex Regina 350,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",6.8:1,,Carburettor. Single Bing or amal,Overhead Valves (OHV),,Air,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,145.0 kg (319.7 pounds),18.00 litres (4.76 US gallons),,19.0 HP (13.9  kW)) @ 6250 RPM,,0.1310 HP/kg,,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,
Velocette Mac ,1957,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,161.0 kg (354.9 pounds),,,18.0 HP (13.1  kW)) @ 5500 RPM,,0.1118 HP/kg,152 mm (6.0 inches),,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LD 150 series 2,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,88.0 kg (194.0 pounds),,,6.5 HP (4.7  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),0.0739 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601 Kardan Sport,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,,Carburettor. Bing ,Overhead Valves (OHV),,Air,4-speed,Shaft drive (cardan)   (final drive),,Tubular,Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,216.0 kg (476.2 pounds),14.50 litres (3.83 US gallons),Kick,34.0 HP (24.8  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),0.1574 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Adler MBS 250 Favorit,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Semi double cradle,,Two schock,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,165.0 kg (363.8 pounds),15.00 litres (3.96 US gallons),Kick,16.0 HP (11.7  kW)) @ 5600 RPM,116.0 km/h (72.1 mph),0.0970 HP/kg,180 mm (7.1 inches),950 mm (37.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Norton International Model 30,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Overhead Cams (OHC),,Air,,Chain   (final drive),,,,,,,,,Spoked,Single spring-mounted,,,,,150.0 km/h (93.2 mph),,,,,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,
