Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Seat,Engine details,Torque,Bore x stroke,Valves per cylinder,Dry weight,Power/weight ratio,Electrical,Comments,Color options,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Instruments,Light,Rake (fork angle),Ground clearance,Oil capacity,0-100 km/h (0-62 mph),Max RPM,Reserve fuel capacity,Driveline,Alternate seat height
Honda CB 160,1967,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",161.0 ccm (9.82 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 10000 RPM,,,Carburettor,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,Dual seat,,,,,294.0 kg (648.2 pounds),0.0561 HP/kg,,,,,,,,,,,,,,,,
Norton 650SS,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6800 RPM,185.0 km/h (115.0 mph),8.9:1,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,Duplex steel cradle,Telescopic,Dual chocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Dual ,,,68.0 x 89.0 mm (2.7 x 3.5 inches),2,,,,,,,,,,,,,,,,,,
BMW R50US,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,4.02-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,980 mm (38.6 inches),2137 mm (84.1 inches),660 mm (26.0 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,,Dual seat,,,68.0 x 68.0 mm (2.7 x 2.7 inches),,,,,,,,195.0 kg (429.9 pounds),,,,,,,,,,,
Kawasaki A7 Avenger,1967,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,338.0 ccm (20.62 cubic inches),"Twin, two-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),,Carburettor,Rotary valves,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,13.50 litres (3.57 US gallons),,,Dual ,,,,,158.0 kg (348.3 pounds),0.2658 HP/kg,,,,,,,,,,,,,,,,
Zündapp 517 KS 50,1967,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,80.0 km/h (49.7 mph),,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,,Telescopic,Two schock,,,Single disc,,Expanding brake (drum brake),Spoked,,,,,12.50 litres (3.30 US gallons),,,Dual ,,,39.0 x 41.8 mm (1.5 x 1.6 inches),,86.0 kg (189.6 pounds),,,,,,,,,,,,,,,,,
Ariel Arrow 200,1967,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Twin, two-stroke",,132.0 km/h (82.0 mph),,Carburettor,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Backbone, steel","Trailing link, oil-damped",Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,,,,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),Kick,,Dual seat,,,,,150.0 kg (330.7 pounds),,,Windshield.,White/gold,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,,,,
Triumph Tiger Cub T 20,1967,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,Carburettor,Overhead Valves (OHV),,Dry sumpy,Air,,Chain   (final drive),Wet multiplate,,,,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1245 mm (49.0 inches),,,,,Amal monobloc carburettor,,63.0 x 64.0 mm (2.5 x 2.5 inches),,113.4 kg (250.0 pounds),0.0882 HP/kg,,,,,,,,,,,,,,,,
BSA Spitfire Mk111,1967,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",650.0 ccm (39.66 cubic inches),"Twin, four-stroke",,,,Carburettor. amal,,,,Air,,Chain   (final drive),,,,double cradle steel,telescopic,twin hagon,,,Expanding brake (drum brake),190 mm (7.5 inches),Expanding brake (drum brake),,,,,,18.92 litres (5.00 US gallons),,,,,,,2,,,,,red,,,,,,,,,,,,,
Harley-Davidson XLH Sportster,1967,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Electric,,Dual seat,,,,,,,,,Black/white,,,,,Aluminum headlight,,,,,,,,
Zweirad-Union 159TS,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.3 HP (3.9  kW)) @ 7400 RPM,,,Carburettor,,,,Air,,Chain   (final drive),,,,Doble cradle,,,2.75-21 ,2.75-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,,Dual ,,,,,87.0 kg (191.8 pounds),0.0609 HP/kg,,,,,,,,,,,,,,,,
