Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
Triumph Daytona 900,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,213.0 kg (469.6 pounds),0.4601 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1995,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 6000 RPM,4,6-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4067 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX 9 R Ninja,1995,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 10500 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 9000 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),0.6558 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1995,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8000 RPM,4,6-speed,Single disc,Expanding brake,170.0 kg (374.8 pounds),0.3412 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 600 C,1995,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,5-speed,Single disc,Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Sport,1995,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.5 HP (17.2  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,4-speed,Single disc,Expanding brake,160.0 kg (352.7 pounds),0.1469 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Heritage Softail Classic,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,322.0 kg (709.9 pounds),0.1491 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 Intruder,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Expanding brake,200.0 kg (440.9 pounds),0.3000 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT SE,1995,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3704 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,Shaft drive (cardan)   (final drive),,,,,,,,,"The K 1100 LT SE is basically the same as the K 1100 LT, but includes a few luxury devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint 900,1995,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Tour 500,1995,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 6000 RPM,4,5-speed,Single disc,Expanding brake,145.0 kg (319.7 pounds),0.2345 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 FS,1995,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10400 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),0.5436 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1995,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 11000 RPM,,4,6-speed,Dual disc,Single disc,200.0 kg (440.9 pounds),0.4900 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
