Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
Suzuki Gixxer,2016,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",154.9 ccm (9.45 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8000 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6000 RPM,,,56.0 x 62.9 mm (2.2 x 2.5 inches),2,Carburettor,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),,,,,Telescopic forks,,"Swing Arm, Mono Suspension",,100/80-17 ,140/60-17 ,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),785 mm (30.9 inches),160 mm (6.3 inches),1330 mm (52.4 inches),12.00 litres (3.17 US gallons),"Red, black, blue",Electric & kick,"Maintenance free 12C, 3Ah battery.",Sold in Asia.,Wet sump,,Cast,135.0 kg (297.6 pounds),1030 mm (40.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexmoto FMS 125,2016,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.6 HP (5.6  kW)) @ 7500 RPM,,85.0 km/h (52.8 mph),,52.4 x 57.8 mm (2.1 x 2.3 inches),,Carburettor,,CDI,Air,Automatic,Belt   (final drive),,Twist and go,,,Telescopic fork,,Twin shock absorbers,,130/60-13 ,130/60-13 ,Single disc. Hydraulic,,Single disc. Hydraulic,115.0 kg (253.5 pounds),0.0664 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",1940 mm (76.4 inches),695 mm (27.4 inches),,1365 mm (53.7 inches),6.40 litres (1.69 US gallons),"Red, blue",Electric & kick,,Chinese brand.,,,,,1160 mm (45.7 inches),Underseat storage,,,,,,,,Analogue,,Euro 3,Two-person seat,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Wide Glide,2016,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",78.9 HP (57.6  kW)) @ 5000 RPM,132.0 Nm (13.5 kgf-m or 97.4 ft.lbs) @ 3250 RPM,,10.0:1,98.4 x 111.3 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Primary chain, 34/46 ratio",,132 mm (5.2 inches),Telescopic fork,,Twin shocks,,80/90-H21 ,180/60-B17 ,Single disc. 4-piston fixed. ABS.,,Single disc. 2-piston torque-free floating. ABS.,295.0 kg (650.4 pounds),0.2675 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",2445 mm (96.3 inches),,100 mm (3.9 inches),1715 mm (67.5 inches),17.79 litres (4.70 US gallons),"Black Quartz with flames, Charcoal Pearl with flames, Vivid Black,  Velocity Red Sunglo with flames, Black Denim with flames.",Electric,,,,34.0°,"Black, Laced Steel",307.0 kg (676.8 pounds),,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2.80 litres (2.96 US quarts),"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings","Chrome, Tommy Gun 2-1-2 collector exhaust with dual mufflers.","Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,,,,,,,,,,,,,,,,,,,,,
Zero S Streetfighter,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,54.0 HP (39.4  kW)) @ 4300 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs),153.0 km/h (95.1 mph),,,,,,,Air,Automatic,Belt   (final drive),Clutchless direct drive,"132T/28T, Poly Chain® GT® Carbon™ belt",,81 mm (3.2 inches),"Showa 41 mm inverted cartridge forks, with adjustable spring preload, compression and rebound damping",,"Showa 40 mm piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping",,110/70-17 ,140/70-17 ,Single disc. ABS. Floating discs. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Single-piston caliper. ,,,"807 mm (31.8 inches) If adjustable, lowest setting.",,,,1410 mm (55.5 inches),,"Red, black, yellow",Electric,,"Range up to 185 miles. 8 hour charging, 110 or 220 Volt. Lithium Ion 12.5 kWh battery. Various battery options called ZF9.8, ZF13.0, ZF13.0+Power Tank.",,24.0°,,171.0 kg (377.0 pounds),,,"Radial flux permanent magnet, brushless motor",,,,,,,,2 years,,,,,,,,,,,,,4.80 seconds,,,,,,,,,,
Suzuki LTF 250,2016,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,9.2:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,Carburettor. Mikuni BS29,Single Overhead Cams (SOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,5-forward and 1-reverse. 2WD.,Steel tube,,"Independent, double wishbone, coil spring, oil damped",140 mm (5.5 inches),"Swingarm type, coil spring, oil damped",140 mm (5.5 inches),22/7-11 ,22/10-9 ,Double disc,,Expanding brake (drum brake),187.0 kg (412.3 pounds),,"785 mm (30.9 inches) If adjustable, lowest setting.",1870 mm (73.6 inches),1070 mm (42.1 inches),210 mm (8.3 inches),1144 mm (45.0 inches),10.60 litres (2.80 US gallons),"Terra Green, Flame Red",Electric,,Sold in South-America.,,,,,1055 mm (41.5 inches),Front and rear rack,,,,,,"Dual 30/30W, fender-mounted halogen headlights",,,1 year limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 XRX Low,2016,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,,,74.0 x 61.9 mm (2.9 x 2.4 inches),4,Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain,"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.",95 mm (3.8 inches),"Showa 43mm upside down forks, ",140 mm (5.5 inches),Showa monoshock with hydraulically adjustable preload,151 mm (5.9 inches),90/90-21 ,150/70-17 ,"Double disc. Floating discs, Nissin 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.",191.0 kg (421.1 pounds),0.4974 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",2215 mm (87.2 inches),865 mm (34.1 inches),,1530 mm (60.2 inches),19.00 litres (5.02 US gallons),Chrystal White,Electric,,Windscreen. Traction control. Cruise control. ,,24.3°,Cast aluminium alloy 10­-spoke,215.0 kg (474.0 pounds),1350 mm (53.1 inches),"Top box, saddle bags",,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"780 mm (30.7 inches) If adjustable, highest setting.",3.70 litres (3.91 US quarts),,Stainless steel 3 into 1. high level stainless steel silencer,"LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",24 months unlimited milage,,,,,,,,,,,,,,,,,,,,,,,
Nipponia Arte 125,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.3 HP (6.8  kW)) @ 8000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6800 RPM,,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,Carburettor,,,Oil & air,Automatic,Belt   (final drive),"Dry, automatically centrifugal type",CVT/Automatic,,,"Telescopic, hydraulic fork",,Double hydraulic shock absorbers,,130/60-13 ,130/60-13 ,Single disc,,Single disc,136.0 kg (299.8 pounds),0.0684 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),720 mm (28.3 inches),,,7.00 litres (1.85 US gallons),"White, green, brown",Electric & kick,,"Nipponia is sold in Greece, Belgium, UK, Japan, Brazil, Dominican Republic, Venezuela and China.",,,,143.0 kg (315.3 pounds),1230 mm (48.4 inches),,,,,,,,,,,,Two-person seat,,,,,,,,,,,,,,,,,,,,,
Mikilon Defender TRX 250,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",17.2 HP (12.5  kW)) @ 7500 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs),,,,,Carburettor,,,Air,,Chain   (final drive),,,,,Oil damper,,Oil damper,,80/100-21 ,110/90-18 ,Single disc,,Single disc,,,"900 mm (35.4 inches) If adjustable, lowest setting.",2060 mm (81.1 inches),820 mm (32.3 inches),,1360 mm (53.5 inches),,Black/green,Electric & kick,,Chinese bike.,,,,,1360 mm (53.5 inches),,Loncin CB250 engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1000 ABS Adventure,2016,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1037.0 ccm (63.28 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,,11.3:1,100.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Transistorized digital ignition system,Liquid,6-speed,Chain   (final drive),,"RK525 SMOZ7, 112 links","Aluminum, twin-spar frame",109 mm (4.3 inches),"Telescopic, coil spring, oil damped",237 mm (9.3 inches),"Link type, coil spring, oil damped",125 mm (4.9 inches),110/80-R19 ,150/70-R17 ,Double disc. ABS.,260 mm (10.2 inches),Single disc. ABS.,,,"865 mm (34.1 inches) If adjustable, lowest setting.",2285 mm (90.0 inches),865 mm (34.1 inches),165 mm (6.5 inches),1555 mm (61.2 inches),22.00 litres (5.81 US gallons),Metallic Matte Fibroin Gray,Electric,,Height- and angle-adjustable windscreen,Wet sump,23.7°,10-spoke cast-aluminum wheels ,228.0 kg (502.7 pounds),,,90-degree V-twin,,,,,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR1200F DCT,2016,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1237.0 ccm (75.48 cubic inches),"V4, four-stroke",170.3 HP (124.3  kW)) @ 10000 RPM,129.0 Nm (13.2 kgf-m or 95.2 ft.lbs) @ 8750 RPM,,12.0:1,81.0 x 60.0 mm (3.2 x 2.4 inches),4,"Injection. Programmed Fuel Injection (PGM-FI) with automatic enrichment circuit, 44mm throttle bodies and 12-hole injectors",Single Overhead Cams (SOHC),Digital transistorized with electronic advance,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Dual clutch,"Diamond, aluminium twin-spar",101 mm (4.0 inches),43mm cartridge fork with spring-preload adjustability,109 mm (4.3 inches),"Pro Arm single-side swingarm with Pro-Link, single gas-charged shock with remote spring-preload adjustability and rebound-damping adjustability",130 mm (5.1 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Floating discs. Six-piston calipers. ,276 mm (10.9 inches),Single disc. ABS. Two-piston calipers. ,,,"815 mm (32.1 inches) If adjustable, lowest setting.",2244 mm (88.3 inches),,,1544 mm (60.8 inches),18.93 litres (5.00 US gallons),Metallic Black,Electric,,Model ID: VFR1200F with Dual Clutch Automatic Transmission.,,25.0°,,268.1 kg (591.0 pounds),,,,7.13 litres/100 km (14.0 km/l or 32.99 mpg),165.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,One year. Unlimited milage. Transferable.,Meets current California Air Resources Board (CARB) and EPA standards.,,,,,,,,,,,,,,,,,,,,,,
Kymco Quannon Naked 125,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 9500 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 8500 RPM,104.6 km/h (65.0 mph),11.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,Carburettor,Overhead Cams (OHC),,Oil & air,5-speed,Chain   (final drive),,,Double cradle,,Telescopic fork,,Single swing,,110/80-17 ,140/70-17 ,Single disc,220 mm (8.7 inches),Single disc,132.0 kg (291.0 pounds),0.0985 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2057 mm (81.0 inches),783 mm (30.8 inches),208 mm (8.2 inches),1355 mm (53.3 inches),13.50 litres (3.57 US gallons),Yellow,Electric & kick,,"Kymco bikes are made by Kwang Yang Motor Company, Taiwan.",,,,,1161 mm (45.7 inches),,,,,,,,,,2 Year Warranty ,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado 302,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,300.0 ccm (18.31 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 11500 RPM,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 9000 RPM,,12.0:1,57.4 x 57.8 mm (2.3 x 2.3 inches),4,Injection. Two throttle bodies ø37 mm,Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,6-speed,Chain   (final drive),Wet clutch,,Steel trestle ,,Inverted hydraulic,,"Rear swing arm in steel pipes, rear shock absorber with spring preload adjustmen",,100/70-ZR17 ,150/60-ZR17 ,Double disc. 4 pistons caliper,220 mm (8.7 inches),Single disc. 2 pistons caliper,180.0 kg (396.8 pounds),0.2000 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2175 mm (85.6 inches),746 mm (29.4 inches),,1405 mm (55.3 inches),14.00 litres (3.70 US gallons),White/red/silver,Electric,,,Wet sump,,Aluminum alloy,,1146 mm (45.1 inches),,Horizontal cylinder,,,,,,,,,Euro 3. Two catalytic converter and two oxygen sensor.,,,,,,,,,,3.00 litres (0.79 US gallons),,,,,,,,,,,,
Honda CB400A,2016,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",52.3 HP (38.2  kW)) @ 10500 RPM,38.0 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 9500 RPM,,11.3:1,55.0 x 42.0 mm (2.2 x 1.7 inches),4,Injection. PGM-FI,Double Overhead Cams/Twin Cam (DOHC),Fully transistorised with electronic advance,Liquid,6-speed,Chain   (final drive),Wet multi-plate coil spring,,Double cradle,90 mm (3.5 inches),41mm Showa telescopic fork with pre-load adjustment,118 mm (4.6 inches),Twin remote reservoir Showa shock with spring pre-load adjustment,105 mm (4.1 inches),120/60-ZR17 ,160/60-ZR17 ,Double disc. Four-piston Nissin hydraulic callipers. ,235 mm (9.3 inches),Single disc. Single-piston Nissin hydraulic calliper.,195.0 kg (429.9 pounds),0.2682 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),1070 mm (42.1 inches),130 mm (5.1 inches),1560 mm (61.4 inches),18.00 litres (4.76 US gallons),Pearl Cosmic Black,Electric,,Sold in Japan and Australia.,,25.5°,,,1150 mm (45.3 inches),,,,,,,,Stainless steel,,24 months,,,,,,,,,,,,,,,,,,,,,,,
KTM 1290 Super Duke R,2016,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1301.0 ccm (79.39 cubic inches),"V2, four-stroke",180.0 HP (131.4  kW)),,,,108.0 x 71.0 mm (4.3 x 2.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),"Keihin EMS with RBW, twin ignition",Liquid,6-speed,Chain   (final drive),"PASC slipper clutch, hydraulically actuated",,"Chromium-Molybdenum steel trellis frame, powder coated",,WP USD Ø 48 mm,125 mm (4.9 inches),WP Monoshock ,156 mm (6.1 inches),,,Double disc. ABS. Radially mounted four-piston brake calipers ,240 mm (9.4 inches),Single disc. ABS. Two-piston brake caliper; fixed brake disc ,,,"835 mm (32.9 inches) If adjustable, lowest setting.",,,140 mm (5.5 inches),1482 mm (58.3 inches),18.00 litres (4.76 US gallons),"Orange, black",Electric,,Traction Control. Ride-by-wire.,Forced oil lubrication with 3 pumps ,,,,,,75° V arrangement,,,,,,,Analog and digital,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1597.0 ccm (97.45 cubic inches),"Twin, four-stroke",86.0 HP (62.8  kW)) @ 4850 RPM,146.0 Nm (14.9 kgf-m or 107.7 ft.lbs) @ 2750 RPM,,9.7:1,103.8 x 94.3 mm (4.1 x 3.7 inches),,Injection. Multipoint sequential electronic fuel injection. progressive linkage on throttle,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,Liquid,6-speed,Belt   (final drive),Wet. multi-plate,Toothed Belt,"Tubular steel, twin spine. Twin-sided, steel swing arm.",151 mm (5.9 inches),Showa 47mm forks,120 mm (4.7 inches),Showa chromed spring twin shocks with 5 position adjustable preload. ,95 mm (3.7 inches),120/70-R19 ,200/50-R17 ,Double disc. Nissin 4-piston fixed calipers. ABS.,310 mm (12.2 inches),Single disc. Brembo 2-piston floating caliper. ABS,308.0 kg (679.0 pounds),0.2792 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",2340 mm (92.1 inches),880 mm (34.6 inches),,1615 mm (63.6 inches),22.00 litres (5.81 US gallons),"Phantom Black, Lava Red/Silver Frost
",Electric,,,,32.0°,Cast aluminum alloy 5-spoke,339.0 kg (747.4 pounds),1120 mm (44.1 inches),,270º firing interval,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4.20 litres (4.44 US quarts),,Chromed twin-skin stainless steel 2 into 1 into 2. tandem large-volume catalysts in centralized catbox. chrome-plated exhaust,"Analogue speedometer featuring integrated rev counter, scroll button on handlebars, LCD trip computer, fuel gauge and clock",24 months unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,
Zero DS,2016,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,54.0 HP (39.4  kW)),92.0 Nm (9.4 kgf-m or 67.9 ft.lbs),129.0 km/h (80.2 mph),,,,,,,Air,Automatic,Belt   (final drive),Clutchless direct drive,"132T / 28T, Poly Chain® GT® Carbon™ belt",,117 mm (4.6 inches),"Showa 41 mm inverted cartridge forks, with adjustable spring preload, compression and rebound damping",178 mm (7.0 inches),"Showa 40 mm piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping",179 mm (7.0 inches),100/90-19 ,130/80-17 ,Single disc. ABS. Floating discs. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Single-piston caliper. ,,,"843 mm (33.2 inches) If adjustable, lowest setting.",,,,1427 mm (56.2 inches),,"Orange, black",Electric,,"Range up to 185 miles. 8 hour charging, 110 or 220 Volt. Lithium Ion 12.5 kWh battery. Various battery options called ZF9.8, ZF130.0, and ZF13.0 + Power Tank.",,26.6°,,173.0 kg (381.4 pounds),,,"Radial flux permanent magnet, brushless motor",,,,,,,,2 years. 5 years on power pack.,No direct emissions,,,,,,,,,,,,5.20 seconds,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic Low,2016,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 5100 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 3250 RPM,,9.7:1,98.4 x 111.3 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",,170 mm (6.7 inches),Telescopic fork,,Twin shocks,,130/80-17 ,180/65-16 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,400.1 kg (882.0 pounds),0.2175 HP/kg,"686 mm (27.0 inches) If adjustable, lowest setting.",2600 mm (102.4 inches),,135 mm (5.3 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Purple Fire/Blackberry Smoke, Mysterious Red Sunglo/Velocity Red Sunglo, Amber Whiskey/Charcoal Pearl, Brillet Silver, Cosmic Blue Pearl, Superior Blue. ",Electric,,Windshield. Cruise control. Optional Alarm.,,26.0°,Cast Aluminum,413.2 kg (911.0 pounds),,"Saddle bags, top box",Integrated Oil-Cooler,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3.80 litres (4.02 US quarts),"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system (optional), 6-speed, low fuel warning, ABS (optional)","Chrome, 2-1-2 dual exhaust with tapered mufflers","Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light; cruise control indicator light Tachometer with fuel, voltage, oil pressure and ambient air temperature gauges",,,,,,,,,,,,,,,,,,,,,,,,
Oset 20 48V Racing,2016,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.6 HP (1.2  kW)),,,,,,,,,Air,,Chain   (final drive),,,Steel,,Telescopic air fork,,"Monoshock with preload adjustment, oil dampened.",,2.50-16 ,2.70-16 ,Single disc,140 mm (5.5 inches),Single disc,,,"550 mm (21.7 inches) If adjustable, lowest setting.",,,290 mm (11.4 inches),1050 mm (41.3 inches),,Black/red/white,Electric,,4 x 10ah AGM SLA batteries. Intended for children 8 years or older.,,,"Alloy rims/hubs, wire spoked.",,,,Oset neodymium magnet DC motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Naked T,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.7 HP (8.5  kW)) @ 9000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7000 RPM,,9.6:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Injection,,Digital,Air,5-speed,Chain   (final drive),,,,,Inverted Fork,,Swingarm,,120/70-ZR12 ,130/70-ZR12 ,Single disc,190 mm (7.5 inches),Single disc,121.0 kg (266.8 pounds),0.0967 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1840 mm (72.4 inches),755 mm (29.7 inches),,,7.20 litres (1.90 US gallons),White,Electric,,,Wet Sump,,,,1025 mm (40.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghezzi-Brian V11 Trofeo,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 8250 RPM,,211.0 km/h (131.1 mph),,,,Injection,,,,5-speed,Chain   (final drive),,,,90 mm (3.5 inches),Paioli upside-down Hydraulic telescopic fork 41 mm with three settings,,Hydraulic Öhlins monoschock absorber with separate tank and three settings,,120/60-17 ,180/55-17 ,Double disc. 4 pistons caliper,220 mm (8.7 inches),Single disc. 4 pistons caliper,188.0 kg (414.5 pounds),0.4628 HP/kg,,,,,,,Red/white/silver,Electric,,Customized Moto Guzzi.,,23.0°,,,,,,,,,,,,Digital dashboard,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT750S,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"V2, four-stroke",44.9 HP (32.8  kW)) @ 5500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 3500 RPM,,9.6:1,79.0 x 79.0 mm (3.1 x 3.1 inches),3,Injection,Single Overhead Cams (SOHC),Digital transistorised with electronic advance,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Enclosed shaft,Steel-tube backbone,,41mm telescopic fork,118 mm (4.6 inches),Dual shocks with five-position spring pre-load adjustability,90 mm (3.5 inches),100/90-19 ,150/80-16 ,Single disc. Twin-piston hydraulic calliper,180 mm (7.1 inches),Expanding brake (drum brake),,,"750 mm (29.5 inches) If adjustable, lowest setting.",2285 mm (90.0 inches),870 mm (34.3 inches),155 mm (6.1 inches),1640 mm (64.6 inches),10.70 litres (2.83 US gallons),White,Electric,,,,,,232.0 kg (511.5 pounds),1135 mm (44.7 inches),,52° V-twin ,3.57 litres/100 km (28.0 km/l or 65.89 mpg),82.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,2.60 litres (0.69 US gallons),,,,,,,,,,,,
Suzuki Boulevard M109R Limited Edition,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1783.0 ccm (108.80 cubic inches),"V2, four-stroke",125.0 HP (91.2  kW)) @ 6200 RPM,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3200 RPM,,10.5:1,112.0 x 90.5 mm (4.4 x 3.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Double cradle steel frame,,"Inverted telescopic, coil spring, oil damped",130 mm (5.1 inches),"Link type, oil damped, coil spring",118 mm (4.6 inches),130/70-R18 ,240/40-R18 ,Double disc,275 mm (10.8 inches),Single disc,,,"705 mm (27.8 inches) If adjustable, lowest setting.",2450 mm (96.5 inches),875 mm (34.4 inches),130 mm (5.1 inches),1710 mm (67.3 inches),18.55 litres (4.90 US gallons),Metallic Thunder Gray/Metallic Mystic Silver,Electric,,,,,,347.0 kg (765.0 pounds),,,54-degree V-Twin,,,,,,2-into-1-into-2 stainless steel chromed exhaust system,,1 year unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
