Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Husqvarna TE 250,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,76.0 x 55.0 mm (3.0 x 2.2 inches),Digital,Liquid,5-speed,Chain   (final drive),Upside-down telescopic hydraulic adjustable fork,Progressive ´soft damp´ with hydraulic adjustable single shock absorber,Single disc,Single disc,,,1290 mm (50.8 inches),2215 mm (87.2 inches),820 mm (32.3 inches),1485 mm (58.5 inches),7.70 litres (2.03 US gallons),Electric,Dry sump with two oil pump rotor and cartridge filter,"Wet, multiplate type, hydraulic","Single tube cradle, rear frame in light alloy.",12.5:1,4,Carburettor.  Mikuni TMR 36 mm,,,,90/90-18 ,140/80-18 ,220 mm (8.7 inches),113.8 kg (250.9 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1500 Classic,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",,,102.0 x 90.0 mm (4.0 x 3.5 inches),Digital with Throttle Responsive Ignition Control (K-TRIC),Liquid,5-speed,Shaft drive (cardan)   (final drive),41mm hydraulic fork,Dual hydraulic shocks,Single disc,Single disc,292.1 kg (644.0 pounds),,1100 mm (43.3 inches),,965 mm (38.0 inches),,15.89 litres (4.20 US gallons),Electric,,,"High tensile steel, double cradle",8.6:1,4,Carburettor.  Keihin CVK40,Single Overhead Cams (SOHC),150 mm (5.9 inches),86 mm (3.4 inches),130/90-16 ,150/80-16 ,270 mm (10.6 inches),,"701 mm (27.6 inches) If adjustable, lowest setting.",124 mm (4.9 inches),,,,,,32.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F4i,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,67.0 x 42.5 mm (2.6 x 1.7 inches),Computer-controlled digital transistorized with three-dimensional mapping,Liquid,6-speed,Chain   (final drive),"43.0mm HMAS cartridge fork with spring-preload, rebound and compression-damping adjustability","Pro-Link HMAS single shock with spring-preload, rebound and compression-damping adjustability",Double disc. 4-piston calipers,Single disc,167.8 kg (370.0 pounds),,,,,1384 mm (54.5 inches),18.16 litres (4.80 US gallons),Electric,,,,12.0:1,,Injection.  Programmed Fuel Injection (PGM-FI) with automatic enricher circuit,Double Overhead Cams/Twin Cam (DOHC),119 mm (4.7 inches),119 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),,"805 mm (31.7 inches) If adjustable, lowest setting.",,"Candy Dark Red/Silver, Silver/Metallic Silver",Model ID: CBR600F4i,,,,24.0°,96 mm (3.8 inches),,3.40 litres (0.90 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard S40,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",655.5 ccm (40.00 cubic inches),"Single cylinder, four-stroke",,,94.0 x 94.0 mm (3.7 x 3.7 inches),,Air,5-speed,Belt   (final drive),"Telescopic, coil spring, oil damped","Twin shock, 5-way adjustable spring preload",Single disc,Expanding brake (drum brake),160.0 kg (352.7 pounds),,1105 mm (43.5 inches),2180 mm (85.8 inches),720 mm (28.3 inches),1480 mm (58.3 inches),10.50 litres (2.77 US gallons),Electric,,,,8.5:1,,Carburettor,Single Overhead Cams (SOHC),,,100/90-H19 ,140/80-H15 ,,,"700 mm (27.6 inches) If adjustable, lowest setting.",135 mm (5.3 inches),"Black, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C90 Black,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1474.9 ccm (90.00 cubic inches),"V2, four-stroke",,,96.0 x 101.0 mm (3.8 x 4.0 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Telescopic, coil spring, oil damped","Link-type, oil damped, 5-way adjustable spring preload",Double disc,Single disc,316.0 kg (696.7 pounds),,1422 mm (56.0 inches),2525 mm (99.4 inches),1020 mm (40.2 inches),1700 mm (66.9 inches),14.00 litres (3.70 US gallons),Electric,,,"Soft-tail-style frame creates a continuous flowing line from the headlight, through the fuel tank, seat and rear fender",8.5:1,3,Injection,Single Overhead Cams (SOHC),,,150/80-16 ,180/70-M15 ,,,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDXI Dyna Super Glide Sport,2005,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3400 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Air,5-speed,,,,Double disc,Single disc,292.0 kg (643.7 pounds),,,2310 mm (90.9 inches),,1595 mm (62.8 inches),17.80 litres (4.70 US gallons),,,Multi-plate clutch with diaphragm spring in oil bath,,8.8:1,,Injection.  Electronic Sequential Port Fuel Injection (ESPFI ),Double Overhead Cams/Twin Cam (DOHC),,,100/90-19 ,150/80-16 ,292 mm (11.5 inches),,"693 mm (27.3 inches) If adjustable, lowest setting.",150 mm (5.9 inches),"Vivid black, brilliant silver pearl, smokey gold pearl, black pearl, chopper blue pearl, lava red sunglo, rich sunglo blue",,,,,28.0°,,Staggered shorty duals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250 F,2005,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,77.0 x 53.6 mm (3.0 x 2.1 inches),Digital AC-CDI,Liquid,5-speed,Chain   (final drive),"48mm inverted, cartridge-type telescopic fork",UNI-TRAK® single shock system,Single disc,Single disc,92.5 kg (203.9 pounds),,1270 mm (50.0 inches),,841 mm (33.1 inches),1476 mm (58.1 inches),7.57 litres (2.00 US gallons),,,,"Perimeter style, high-tensile steel with D-section upper frame rails",12.6:1,4,Carburettor.  Keihin FCR37 with hot start circuit,Double Overhead Cams/Twin Cam (DOHC),,,80/90-M21 ,100/90-M19 ,240 mm (9.4 inches),,"960 mm (37.8 inches) If adjustable, lowest setting.",330 mm (13.0 inches),Kawasaki Lime Green,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV 125 Aquila,2005,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",14.8 HP (10.8  kW)) @ 10300 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 10000 RPM,44.0 x 41.0 mm (1.7 x 1.6 inches),,,,,Telescopic,Swingarm,Single disc,Expanding brake (drum brake),163.0 kg (359.4 pounds),0.0905 HP/kg,,,,,14.00 litres (3.70 US gallons),Electric,,,Steel,11.2:1,4,,,120 mm (4.7 inches),80 mm (3.1 inches),,,130 mm (5.1 inches),,"665 mm (26.2 inches) If adjustable, lowest setting.",,"Red/black, Silver/black",,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 125,2005,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 7500 RPM,53.7 x 54.8 mm (2.1 x 2.2 inches),,Liquid,,Belt   (final drive),"Front suspension by hydraulic fork, ø 36 mm stanchions",Rear suspension by swinging engine and 2 hydraulic shock absorbers,Single disc,Single disc,142.0 kg (313.1 pounds),0.0849 HP/kg,,,,,12.00 litres (3.17 US gallons),Electric,,,High resistance braced tubular steel frame,11.0:1,,Carburettor. Dell’Orto SHA 14/12,,,,120/70-13 ,130/60-13 ,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 85 L,2005,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,,48.0 x 46.8 mm (1.9 x 1.8 inches),,Liquid,6-speed,Chain   (final drive),"Inverted, cartridge-type, 20-way adjustable compression  and  fully-adjustable rebound damping, 10.8 inches of travel.","Link-type, fully-adjustable spring preload, and 4-way compression and 16-way rebound damping, 10.9 inches of travel.",Single disc,Single disc,69.0 kg (152.1 pounds),,1165 mm (45.9 inches),1895 mm (74.6 inches),735 mm (28.9 inches),1280 mm (50.4 inches),5.00 litres (1.32 US gallons),,,,,9.5:1,,Carburettor,,,,70/90-M19 ,90/90-M16 ,,,"875 mm (34.4 inches) If adjustable, lowest setting.",355 mm (14.0 inches),Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 450 R,2005,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,96.0 x 62.0 mm (3.8 x 2.4 inches),CD with electronic advance,Liquid,5-speed,Chain   (final drive),47mm inverted Showa cartridge fork with 16-position rebound- and 16-position compression-damping adjustability,"Pro-Link Showa single shock with spring-preload, 17-position rebound-damping adjustability, and compression-damping adjustment separated into low speed (13 positions) and high-speed (3.5 turns",Single disc. 2-piston calipers,Single disc,99.1 kg (218.5 pounds),,,,,1491 mm (58.7 inches),7.19 litres (1.90 US gallons),Kick,,,,12.0:1,,Carburettor.  Keihin 40mm flat-slide,,315 mm (12.4 inches),318 mm (12.5 inches),80/70-21 ,100/90-19 ,240 mm (9.4 inches),,"955 mm (37.6 inches) If adjustable, lowest setting.",340 mm (13.4 inches),Red,Model ID: CBF450R,,,,26.8°,109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 250,2005,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",27.5 HP (20.1  kW)) @ 10250 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 7500 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),Electronic,,5-speed,,Telescopic,Swingarm,Single disc,Single disc,155.0 kg (341.7 pounds),0.1774 HP/kg,,,,,17.00 litres (4.49 US gallons),Electric,,,,10.2:1,4,,Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),110 mm (4.3 inches),110/70-17 ,150/70-17 ,230 mm (9.1 inches),,"795 mm (31.3 inches) If adjustable, lowest setting.",,"Black, blue, yellow",,140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 125 VanVan,2005,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.7 HP (8.5  kW)) @ 9500 RPM,13.3 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 7700 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),Electronic ignition (Transistorized),Air,6-speed,Chain   (final drive),"Telescopic, coil spring, oil damped","Swingarm type, coil spring, oil damped",Single disc,Expanding brake (drum brake),117.0 kg (257.9 pounds),0.0997 HP/kg,1120 mm (44.1 inches),2140 mm (84.3 inches),860 mm (33.9 inches),1385 mm (54.5 inches),7.50 litres (1.98 US gallons),Electric,Wet sump,Wet multi-plate type,,9.2:1,2,Carburettor. MIKUNI BS26,Overhead Cams (OHC),,,130/80-18 M/C 66P ,180/80-14 M/C 78P ,,,"770 mm (30.3 inches) If adjustable, lowest setting.",215 mm (8.5 inches),,,100.0 km/h (62.1 mph),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1.80 litres (0.48 US gallons),,,,,,,,,,,,,,,,10500,,,,,,,,,,,
Polini 910 Dirt Road S Air,2005,"Minibike, sport"," 2.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.7 ccm (2.42 cubic inches),"Single cylinder, two-stroke",4.2 HP (3.1  kW)),,36.0 x 39.0 mm (1.4 x 1.5 inches),Electronic,Air,,Chain   (final drive),,,Single disc,Single disc,18.0 kg (39.7 pounds),0.2333 HP/kg,,965 mm (38.0 inches),210 mm (8.3 inches),,1.80 litres (0.48 US gallons),,,Dry with centrifugal counter weights,Light alloy,,,Carburettor. SHA 14-14,,,,,,,,"385 mm (15.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli 125 T-2,2005,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.8 HP (8.6  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8000 RPM,,,Air,,,,,Single disc,Expanding brake (drum brake),105.0 kg (231.5 pounds),0.1124 HP/kg,1070 mm (42.1 inches),2000 mm (78.7 inches),750 mm (29.5 inches),1285 mm (50.6 inches),,Electric & kick,,Auto wetting centrifugal type,,,,,,,,,,,,,,"Mauve, black, white, blue",Model also known as Veli Motor 125T-2. ,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ RT 125,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,,,,,Chain   (final drive),Telescopic fork,Rear monoshock,Single disc,Single disc,133.0 kg (293.2 pounds),0.0827 HP/kg,,,,1355 mm (53.3 inches),12.50 litres (3.30 US gallons),,,,,,4,,Double Overhead Cams/Twin Cam (DOHC),,,110/70-17 ,130/70-17 ,,,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,108.0 km/h (67.1 mph),,,,,,3.60 litres (0.95 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 EXC Racing,2005,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",447.9 ccm (27.33 cubic inches),"Single cylinder, four-stroke",,,89.0 x 72.0 mm (3.5 x 2.8 inches),Kokusan digital 4K-3B,Liquid,6-speed,Chain   (final drive),WP-USD 48 mm (1.89 inches),WP-PDS-shock absorber,Single disc,Single disc,113.5 kg (250.2 pounds),,,,450 mm (17.7 inches),1481 mm (58.3 inches),8.00 litres (2.11 US gallons),Electric & kick,pressure lubrication with 2 Eaton pumps,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum,11.0:1,4,Carburettor.  Keihin MX FCR 39,Overhead Cams (OHC),,335 mm (13.2 inches),,,260 mm (10.2 inches),,"925 mm (36.4 inches) If adjustable, lowest setting.",380 mm (15.0 inches),,,,,,26.5°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville,2005,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",62.0 HP (45.3  kW)) @ 7400 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 3500 RPM,86.0 x 68.0 mm (3.4 x 2.7 inches),Digital - inductive type,Air,5-speed,Chain   (final drive),41mm forks,Chromed spring twin shocks with adjustable preload,Single disc. 2-piston calipers,Single disc. 2-piston calipers,205.0 kg (451.9 pounds),0.3024 HP/kg,1100 mm (43.3 inches),2230 mm (87.8 inches),840 mm (33.1 inches),1500 mm (59.1 inches),,,,"Wet, multi-plate",Tubular steel cradle,9.2:1,,Carburettor.  Twin carburettors with throttle position sensor and electric carburettor heaters,Double Overhead Cams/Twin Cam (DOHC),,,100/90-19 ,130/80-17 ,255 mm (10.0 inches),,"775 mm (30.5 inches) If adjustable, lowest setting.",,"Jet Black, Goodwood Green, Aegean Blue (Jet Black also available with black engine finish)",,,,,28.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Sabre,2005,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",,,87.5 x 91.4 mm (3.4 x 3.6 inches),"Digital, two spark plugs per cylinder",Liquid,5-speed,Shaft drive (cardan)   (final drive),41mm fork,Dual shocks with five-position spring-preload adjustability,Single disc. 2-piston calipers.,Single disc. 1-piston calipers.,259.9 kg (573.0 pounds),,,,,1641 mm (64.6 inches),15.89 litres (4.20 US gallons),Electric,,,Front Suspension,8.0:1,,Carburettor.  Two 36mm CV,Single Overhead Cams (SOHC),119 mm (4.7 inches),99 mm (3.9 inches),120/90-18 ,170/80-15 ,276 mm (10.9 inches),,"691 mm (27.2 inches) If adjustable, lowest setting.",,"Black, Black/Flame",Model ID: VT1100C2,,,,32.7°,161 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 550,2005,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",549.8 ccm (33.55 cubic inches),"Single cylinder, four-stroke",,,100.0 x 70.0 mm (3.9 x 2.8 inches),Kokusan digital,Liquid,6-speed,Chain   (final drive),WP MXMA 4860-Husaberg Enduro,WP PDS 5018-Husaberg Enduro,Single disc,Single disc,103.0 kg (227.1 pounds),,1120 mm (44.1 inches),2170 mm (85.4 inches),810 mm (31.9 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Kick,"Pressure circulation, trochoit oil pump","Wet multi-disc clutch, operated hydraulically",Cr-Mo,11.8:1,4,Carburettor.  Keihin MX FCR 41,Overhead Cams (OHC),295 mm (11.6 inches),320 mm (12.6 inches),80/100-21 ,110/100-19 ,220 mm (8.7 inches),,,380 mm (15.0 inches),Yellow/blue,Model id FC550.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini Carena 910 S H2O,2005,"Minibike, sport"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.7 ccm (2.42 cubic inches),"Single cylinder, two-stroke",6.2 HP (4.5  kW)),,36.0 x 39.0 mm (1.4 x 1.5 inches),Electronic,Liquid,,,,,Single disc,Single disc,19.0 kg (41.9 pounds),0.3263 HP/kg,,945 mm (37.2 inches),240 mm (9.4 inches),,,,,Dry with centrifugal counter weights,Lattice tubular frame,16.5:1,,Carburettor,,,,,,,,"400 mm (15.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C Montauk,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",60.3 HP (44.0  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,101.0 x 73.0 mm (4.0 x 2.9 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Telelever,Die-cast steel single-sided swinging arm with BMW Motorrad Monolever,Double disc,Single disc,245.0 kg (540.1 pounds),0.2463 HP/kg,1340 mm (52.8 inches),2370 mm (93.3 inches),1120 mm (44.1 inches),1641 mm (64.6 inches),17.50 litres (4.62 US gallons),Electric,,"Single-disc dry clutch, hydraulically operated","Three-section composite frame consisting of front and rear section, load bearing engine.",10.0:1,4,"Injection.  Electronic intake pipe injection/digital engine management: Bosch Motronic MA 2.4 with overrun fuel cut-off, twin spark ignition",,35 mm (1.4 inches),135 mm (5.3 inches),150/80-VR16 ,170/80-VR15 ,285 mm (11.2 inches),265.0 kg (584.2 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,,168.0 km/h (104.4 mph),4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,33.5°,184 mm (7.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas,2005,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1507.7 ccm (92.00 cubic inches),"V2, four-stroke",,,97.0 x 102.0 mm (3.8 x 4.0 inches),,Oil & air,5-speed,Belt   (final drive),Conventional telescopic fork/43mm diameter,"Single, mono-tube gas/forged and cast aluminum w/ rising-rate linkage adjustable spring",Single disc. Floating rotor with 4-piston caliper,Single disc. Floating rotor with 2-piston caliper,281.0 kg (619.5 pounds),,673 mm (26.5 inches),2446 mm (96.3 inches),,1666 mm (65.6 inches),17.03 litres (4.50 US gallons),Electric,,Wet/multi-plate,,9.2:1,,Injection.  Electronic fuel injection/44mm throttle bodies,Single Overhead Cams (SOHC),130 mm (5.1 inches),100 mm (3.9 inches),80/90-21 ,180/55-B18 ,300 mm (11.8 inches),,,147 mm (5.8 inches),,,,,,33.1°,,Staggered slash-cut dual exhaust with common volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 650 Bizon,2005,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",651.9 ccm (39.78 cubic inches),"Single cylinder, four-stroke",46.3 HP (33.8  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,,5-speed,,,,Single disc,Single disc,180.0 kg (396.8 pounds),0.2570 HP/kg,,,,1525 mm (60.0 inches),14.20 litres (3.75 US gallons),Electric,,,,9.7:1,,,,,,90/90-18 ,130/90-16 ,220 mm (8.7 inches),,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,155.0 km/h (96.3 mph),,,,,,1.50 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV 250 Aquila,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",26.8 HP (19.6  kW)) @ 9200 RPM,21.3 Nm (2.2 kgf-m or 15.7 ft.lbs) @ 7300 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),,Oil & air,5-speed,,Telescopic,Swingarm,Single disc,Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1578 HP/kg,,,,,14.00 litres (3.70 US gallons),Electric,,,Steel,11.2:1,4,,,120 mm (4.7 inches),92 mm (3.6 inches),110/90-16 ,155/80-15 ,130 mm (5.1 inches),,"700 mm (27.6 inches) If adjustable, lowest setting.",,"Red/black, Silver/black",,130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco 125 Spike,2005,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",120.4 ccm (7.35 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)) @ 8000 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,,,Air,4-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),120.0 kg (264.6 pounds),0.0738 HP/kg,1140 mm (44.9 inches),2005 mm (78.9 inches),730 mm (28.7 inches),,,,,,,,,,,,,2.75-17 ,2.75-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6,2005,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,,65.5 x 44.5 mm (2.6 x 1.8 inches),Digital TCI,Liquid,6-speed,Chain   (final drive),"43mm telescopic fork, 5.1´","Single shock, adjustable preload",Double disc,Single disc,191.9 kg (423.0 pounds),,,2096 mm (82.5 inches),765 mm (30.1 inches),1440 mm (56.7 inches),5.10 litres (1.35 US gallons),Electric,,,,12.1:1,4,"Injection.  Group Fuel Injection, 36mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),,130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,245 mm (9.6 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",,"Galaxy Blue/Black, Cerulean Silver/Black",,,,,25.0°,97 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V Raptor 1000,2005,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",994.8 ccm (60.70 cubic inches),"V2, four-stroke",,,97.8 x 65.8 mm (3.9 x 2.6 inches),Electronic,Liquid,,,Upside down telscopic hydraulic fork,"Progressive, single shock absorber with adjustable spring preload",Single disc. Bremo. 4-piston calipers,Single disc. Bremo,197.0 kg (434.3 pounds),,1070 mm (42.1 inches),2104 mm (82.8 inches),820 mm (32.3 inches),1432 mm (56.4 inches),15.17 litres (4.01 US gallons),,,,High strength steel tubular frame,11.3:1,,,,138 mm (5.4 inches),,,,298 mm (11.7 inches),,"805 mm (31.7 inches) If adjustable, lowest setting.",175 mm (6.9 inches),,,,,,,102 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike Mini Desert RC 14,2005,"Minibike, cross"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",2.5 HP (1.8  kW)),,39.0 x 41.7 mm (1.5 x 1.6 inches),Electronic,Air,Automatic,Chain   (final drive),Hydraulic,Monshock,Single disc,Expanding brake (drum brake),36.0 kg (79.4 pounds),0.0694 HP/kg,740 mm (29.1 inches),1460 mm (57.5 inches),820 mm (32.3 inches),1080 mm (42.5 inches),2.00 litres (0.53 US gallons),Kick,Mixed 2T oil 2%,,Hardened steel,9.0:1,,Carburettor. Dell´Ortho SHA 12/14,,,,,,165 mm (6.5 inches),,"715 mm (28.1 inches) If adjustable, lowest setting.",,"Red, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
