Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
BSA A7 Shoting Star,1960,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,,Lucas magneto,Air,,,Wet multiplate,Single cradle,Hydralic telescopic forks,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,168.0 km/h (104.4 mph),19.7 HP (14.4  kW)) @ 6000 RPM,,,,2180 mm (85.8 inches),,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,93.0 kg (205.0 pounds),15.00 litres (3.96 US gallons),,,5.8 HP (4.2  kW)) @ 6500 RPM,,0.0624 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 31 650 Swift,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Overhead Valves (OHV),Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,Doble cradle,Hydraulic telescopic,Twin shock Girling,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,176.0 kg (388.0 pounds),16.00 litres (4.23 US gallons),Kick,,31.4 HP (22.9  kW)) @ 6000 RPM,,0.1784 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 70,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,70.0 ccm (4.27 cubic inches),"Single cylinder, two-stroke",7.5:1,45.0 x 44.0 mm (1.8 x 1.7 inches),Carburettor. DellÓrto,,,,3-speed,Chain   (final drive),,,,Swingarm with three shoks,,,,,Spoked,Dual ,,,,65.0 km/h (40.4 mph),3.8 HP (2.7  kW)) @ 6000 RPM,,,,,,,,,,,,,,,,,,Minarelli,,,,,,,,,,
James Commodore 250,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor. Amal,,,Air,,Chain   (final drive),,,Hydraulic telescopic,Swingarm-two shocks,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montesa Brio 110,1960,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0:1,51.0 x 60.0 mm (2.0 x 2.4 inches),Carburettor. IRZ22AE01,,Breaker points,,4-speed,Chain   (final drive),Wet multiplate,Steel ,Fork,,,,,,,,,,,,10.0 HP (7.3  kW)) @ 6500 RPM,,,,,,,,,None ,Batteryless Flywheel Magneto,Wet sump  and  oil mixture in fuel,,,,,,,,,,,,,,,,Double pipes,
Zündapp 250 S Trophy,1960,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,Two shock,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,136.0 kg (299.8 pounds),,,,14.5 HP (10.6  kW)) @ 5500 RPM,,0.1066 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,170.0 kg (374.8 pounds),17.00 litres (4.49 US gallons),,135.0 km/h (83.9 mph),18.0 HP (13.1  kW)) @ 4300 RPM,200 mm (7.9 inches),0.1059 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1960,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),Magneto,,,Chain   (final drive),Single speed,,,,,,Expanding brake (drum brake),,,Single seat,,,,323.5 km/h (201.0 mph),,,,,,,,,,Multicolored white/blue/red,,,,,,,,136.1 kg (300.0 pounds),,,,,,,,,,,
Ariel HT5 500 Trials,1960,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,,Carburettor. Monoblock,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Single cradle,Telescopic fork,"Swing arm, hydraulic dampers",2.75-21 ,4.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Single seat,132.0 kg (291.0 pounds),,Kick,,24.9 HP (18.2  kW)) @ 6000 RPM,152 mm (6.0 inches),0.1889 HP/kg,,,,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,1-into-1 pipe,
