Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Hero Maestro Edge 110 BS6,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.9 ccm (6.77 cubic inches),"Single cylinder, four-stroke",8.1 HP (5.9  kW)) @ 7250 RPM,8.7 Nm (0.9 kgf-m or 6.4 ft.lbs) @ 5750 RPM,,10.0:1,53.0 x 49.5 mm (2.1 x 1.9 inches),Injection,Air,Chain   (final drive),,,,90/90-12 ,90/100-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"775 mm (30.5 inches) If adjustable, lowest setting.",1843 mm (72.6 inches),1261 mm (49.6 inches),5.00 litres (1.32 US gallons),"Red, white, silver, blue, black",Electric & kick,,Overhead Cams (OHC),,4-speed,Automatic Clutch,,,,"Telescopic, Hydraulic Shock Absorbers",,Unit Swing with Spring Loaded Hydraulic Damper,,,112.0 kg (246.9 pounds),,,,,,,,,,1188 mm (46.8 inches),715 mm (28.1 inches),155 mm (6.1 inches),,,Digital/Analog,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono 660,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Twin, four-stroke",95.0 HP (69.3  kW)),,,,,Injection. Ride-by-Wire throttle,Liquid,,,,,120/70-17 ,180/60-17 ,Double disc. Brembo four-piston. ABS.,220 mm (8.7 inches),Single disc. Brembo. ABS.,,,,,,,Concept Black/Acid Gold/Iridium Gray,Electric,,Double Overhead Cams/Twin Cam (DOHC),,,,Diecast aluminium twin-spar,,,KYB inverted fork.,,Swingarm,,,183.0 kg (403.4 pounds),Triple LED headlights and daytime running lights,,,Five riding modes.,270-degree crank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Rocket 3 GT,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2458.0 ccm (149.99 cubic inches),"In-line three, four-stroke",165.0 HP (120.4  kW)) @ 6000 RPM,221.0 Nm (22.5 kgf-m or 163.0 ft.lbs) @ 4000 RPM,,10.8:1,110.2 x 85.9 mm (4.3 x 3.4 inches),Injection. Ride-by-Wire,Liquid,Shaft drive (cardan)   (final drive),6.82 litres/100 km (14.7 km/l or 34.49 mpg),158.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,150/80-R17 ,240/50-R16 ,"Double disc. Brembo M4.30 Stylema® 4-piston radial monobloc calipers, Cornering ABS",300 mm (11.8 inches),"Single disc. Brembo M4.32 4-piston monobloc caliper, Cornering ABS",294.0 kg (648.2 pounds),0.5612 HP/kg,"773 mm (30.4 inches) If adjustable, lowest setting.",2500 mm (98.4 inches),1677 mm (66.0 inches),18.00 litres (4.76 US gallons),"Phantom Black, Silver Ice/Storm Grey",Electric,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-plate hydraulically operated, torque assist",Aluminium   ,27.9°,135 mm (5.3 inches),"Showa 47mm upside-down 1 1 cartridge front forks, compression and rebound adjuster.",120 mm (4.7 inches),Fully adjustable Showa piggyback reservoir RSU with remote hydraulic preload adjuster.,107 mm (4.2 inches),,,,,2 year unlimited mileage,Rider modes Rain/Road/Sport/Rider-configurable.,Counter rotating crankshaft,Stainless steel 3-into-1 headers with 3 exit silencer,Cast aluminum ,,,1065 mm (41.9 inches),970 mm (38.2 inches),,,,TFT multi-functional dashboard,,,,,,,,,,,,,,,,,,,,,,
KTM 350 EXC-F,2021,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",,,,,88.0 x 57.5 mm (3.5 x 2.3 inches),Injection,Liquid,Chain   (final drive),3.83 litres/100 km (26.1 km/l or 61.42 mpg),88.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,103.8 kg (228.8 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",,,9.20 litres (2.43 US gallons),Orange/white/black,Electric,,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",25CrMo4 steel central-tube,26.5°,,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,,,,,,,,,X-ring 5/8 x 1/4´ chain,,,355 mm (14.0 inches),Lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,
Bullit Hero 250,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,,,Air,,,,Euro 4,4.10-18 ,4.60-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,15.00 litres (3.96 US gallons),"Gold/Black, Titanium, White Racing",Electric,,,CDI,,,,,,USD fork,,FASTEC Swing-arm spring oil damper,,,179.0 kg (394.6 pounds),,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z50,2021,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,9.7:1,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor. Mikuni VM13,Air,Chain   (final drive),,,,2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"560 mm (22.0 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),935 mm (36.8 inches),3.00 litres (0.79 US gallons),Championship Yellow ,Electric & kick,,Overhead Cams (OHC),CDI,3-speed,Automatic,Steel,,,"Inverted telescopic, coil spring",97 mm (3.8 inches),"Swingarm type, coil spring, oil damped",,,54.0 kg (119.0 pounds),,,6-month unlimited mileage limited warranty.Longer coverage periods with other benefits available through Suzuki Extended Protection (SEP).,"Single rider only, weight limit 40 kg. Peak power that can be controlled via the adjustable throttle limiter that allows supervising adults to control engine output to suit the rider’s ability.",,,,,"Chain, DID 428DS, 78 links",790 mm (31.1 inches),580 mm (22.8 inches),135 mm (5.3 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Yadea S-Pardus,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,60.0 km/h (37.3 mph),,,,Air,,,,,90/80-14 ,90/90-14 ,Single disc,,Expanding brake (drum brake),135.0 kg (297.6 pounds),,,1880 mm (74.0 inches),1250 mm (49.2 inches),,"Blue, Red, Gray",Electric,,,,,,,,,Telescopic fork,,,,,,Led front light,,,72V 32Ah  lead-acid battery. Range 70 km. Made in China.,,,,,,1060 mm (41.7 inches),690 mm (27.2 inches),,,,LED screen,,,,,,,,,,,,,,,,,,,,,,
Beta RR Motard 2T 50,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,Liquid,Chain   (final drive),,,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,85.0 kg (187.4 pounds),,"885 mm (34.8 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),1410 mm (55.5 inches),6.50 litres (1.72 US gallons),Black/White,Kick,,,,6-speed,Wet multi-disc,Steel double cradle ,,,Hydraulic fork 37mm,210 mm (8.3 inches),Mono Shock,200 mm (7.9 inches),,,,,,,,,,,,1155 mm (45.5 inches),790 mm (31.1 inches),280 mm (11.0 inches),,Mixing with mechanical pump,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XMAX 125 Tech MAX,2021,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.1 HP (10.3  kW)) @ 8750 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6500 RPM,,11.2:1,52.0 x 58.7 mm (2.0 x 2.3 inches),Injection,Liquid,Belt   (final drive),2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-15 ,140/70-14 ,Single disc,245 mm (9.6 inches),Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",2185 mm (86.0 inches),1570 mm (61.8 inches),13.00 litres (3.43 US gallons),"Power Grey, Tech Kamo",Electric,4,Single Overhead Cams (SOHC),TCI,Automatic,,,,,Telescopic forks,110 mm (4.3 inches),Unit Swing,90 mm (3.5 inches),,166.0 kg (366.0 pounds),Dual LED headlights,Illuminated storage for 2 full-face helmets,,Windscreen. Traction Control. Keyless.,,,,,V-Belt Automatic,1415 mm (55.7 inches),775 mm (30.5 inches),130 mm (5.1 inches),,Wet sump,LCD display,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman XP 1000,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,952.0 ccm (58.09 cubic inches),"Twin, four-stroke",90.0 HP (65.7  kW)),,,,,Injection. EFI,Liquid,Shaft drive (cardan)   (final drive),,,,26/8-14 ,26/10-14 ,Single disc,,Single disc,363.0 kg (800.3 pounds),0.2479 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",2114 mm (83.2 inches),1346 mm (53.0 inches),19.90 litres (5.26 US gallons),"Stealth Black, Camo ",Electric,,Single Overhead Cams (SOHC),,Automatic,,,,,Straight Dual A-Arm ,229 mm (9.0 inches),"Straight Dual A-Arm, Rolled IRS",260 mm (10.2 inches),,,,"Lock  and  Ride, 4 Gal (15 L) Front Dry Storage 2 Gal (8 L) Rear Storage",,On-Demand True AWD/2WD. Various equipment options.,,,Cast Aluminum,,Automatic PVT P/R/N/L/H.,1289 mm (50.7 inches),1209 mm (47.6 inches),292 mm (11.5 inches),,,"Digital Gauge, Speedometer, Odometer, Tachometer, Two Tripmeters, Hour Meter, Clock, Service Time, Diagnostic Indicator, Gear Indicator, Fuel Gauge, Hi-Temp/Low-Batt Lights, DC Outlet ",,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000R Joan Mir,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.8 ccm (61.01 cubic inches),"In-line four, four-stroke",196.0 HP (143.1  kW)) @ 11500 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 10000 RPM,,13.2:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. Ride-by-Wire throttle bodies,Liquid,Chain   (final drive),,,,120/70-ZR17 ,190/50-ZR17 ,Double disc. Brembo 4-piston. ABS.,220 mm (8.7 inches),Single disc. Nissin-1 piston. ABS.,,,"825 mm (32.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),1485 mm (58.5 inches),16.00 litres (4.23 US gallons),Blue/white/gold,Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-plate ",Twin-spar made of five cast sections,,,"Inverted telescopic, coil spring, oil damped ",120 mm (4.7 inches),"Link type, single shock, coil spring, oil damped ",130 mm (5.1 inches),Passenger seat can exchanged with a color-matched solo tail cowl.,202.0 kg (445.3 pounds),LED headlight,,12 month unlimited mileage limited warranty.,"Legend Edition bike, sold in Europe.",Titanium valves,Akrapovich exhaust,,,"Chain, DID 525HV3, 120 links",1145 mm (45.1 inches),705 mm (27.8 inches),130 mm (5.1 inches),,Wet sump with oil cooler,"LCD multifunction instrument panel, black background.",,,,,,,,,,,,,,,,,,,,,,
Vespa Sprint 150,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,155.0 ccm (9.46 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 7750 RPM,12.4 Nm (1.3 kgf-m or 9.1 ft.lbs) @ 6750 RPM,,,58.0 x 58.6 mm (2.3 x 2.3 inches),Injection. Electronic ,Air,Belt   (final drive),2.72 litres/100 km (36.8 km/l or 86.48 mpg),63.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,110/70-12 ,120/70-12 ,Single disc. ABS front wheel only.,140 mm (5.5 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1870 mm (73.6 inches),1340 mm (52.8 inches),8.00 litres (2.11 US gallons),"Blue, grey, black",Electric,3,Single Overhead Cams (SOHC),,Automatic,Automatic dry centrifugal with shock absorbers,Sheet steel shell with welded structural reinforcements,,,Single arm with helical spring and hydraulic shock absorber,,Helical spring with adjustable preload and single hydraulic shock absorber,,,,,Underseat storage,2-year unlimited-mileage warranty. ,,,,Aluminium alloy,,CVT automatic with torque server,,735 mm (28.9 inches),,,,TFT display,,,,,,,,,,,,,,,,,,,,,,
Vastro 50 Rio,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,45.0 km/h (28.0 mph),,,Carburettor,Air,Belt   (final drive),,,,120/70-12 ,120/70-12 ,Single disc,,Single disc,90.0 kg (198.4 pounds),,,1890 mm (74.4 inches),,6.60 litres (1.74 US gallons),"Grey, black",Electric & kick,,,,Automatic,Centrifugal,Underbone,,,Telescopic fork,,Monoshock,,,,,,,French brand.,,,,,,1145 mm (45.1 inches),665 mm (26.2 inches),,,,Analogue,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Custom,2021,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",49.6 HP (36.2  kW)) @ 5700 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 3700 RPM,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),"Injection. DFI® 34mm throttle bodies (2), with sub-throttle valves",Liquid,Belt   (final drive),,,,80/90-21 ,180/70-15 ,Single disc,270 mm (10.6 inches),Single disc. Hydraulic. ,,,"685 mm (27.0 inches) If adjustable, lowest setting.",2405 mm (94.7 inches),1645 mm (64.8 inches),20.00 litres (5.28 US gallons),Candy Steel Furnance Orange/Metallic Spark Black,Electric,4,Single Overhead Cams (SOHC),TCBI with digital advance,5-speed,Wet multi-disc,"Double-cradle, steel",33.0°,183 mm (7.2 inches),41mm hydraulic telescopic fork ,150 mm (5.9 inches),Triangle swingarm with Uni-Trak single shock ,104 mm (4.1 inches),,276.7 kg (610.0 pounds),,,12 months unlimited mileage,,52° V-twin,Parallel slash cut pipes,,,Kevlar-reinforced belt,1120 mm (44.1 inches),895 mm (35.2 inches),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Skyteam Scrambler 50,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.2 HP (2.3  kW)),,45.0 km/h (28.0 mph),9.0:1,,Injection. EFI,,Chain   (final drive),,,,100/90-18 ,130/70-17 ,Single disc,,Single disc,112.0 kg (246.9 pounds),0.0286 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),1460 mm (57.5 inches),12.00 litres (3.17 US gallons),Grey,Electric & kick,,,CDI,5-speed,,,,,Telescopic fork,,Dual shocks ,,,,,,,Chinese brand. ,,,,,,1060 mm (41.7 inches),880 mm (34.6 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX150BF SE,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,144.0 ccm (8.79 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,58.0 x 54.4 mm (2.3 x 2.1 inches),,Air,,,,,2.75-21 ,4.1-18 ,Single disc,190 mm (7.5 inches),Single disc,,,"870 mm (34.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),1340 mm (52.8 inches),6.90 litres (1.82 US gallons),Neon Green/Ebony,Electric,,Single Overhead Cams (SOHC),DC-CDI,5-speed,Wet Multi-Disc,"Perimeter, Box-Section",,,Inverted Telescopic 35mm,175 mm (6.9 inches),"Uni-Trak , single gas-shock with 5-way preload adjustability",192 mm (7.6 inches),,118.0 kg (260.1 pounds),,,24 Months Unlimited Kilometers,,,,,,,1155 mm (45.5 inches),950 mm (37.4 inches),295 mm (11.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan S Tourer,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",60.4 HP (44.1  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6600 RPM,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Liquid,Chain   (final drive),4.40 litres/100 km (22.7 km/l or 53.46 mpg),102.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-18 ,160/60-17 ,Double disc. ABS. Two-piston calipers. ,250 mm (9.8 inches),Single disc. ABS. Single-piston caliper. ,,,"705 mm (27.8 inches) If adjustable, lowest setting.",2310 mm (90.9 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),"Metallic Flat Raw Greystone,  Ebony,  Metallic Flat Spark Black",Electric,,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,6-speed,,High-tensile steel double pipe perimeter,31.0°,120 mm (4.7 inches),41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,80 mm (3.1 inches),Various seat height options,229.0 kg (504.9 pounds),,,12 Month Limited Warranty,,,,,,Sealed chain,1100 mm (43.3 inches),880 mm (34.6 inches),130 mm (5.1 inches),,"Forced lubrication, semi‑dry sump",,,,,,,,,,,,,,,,,,,,,,,
Bullit Hero 125,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)),,,,,,Air,,,,Euro 4,4.10-18 ,4.60-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"860 mm (33.9 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),,,Dark Silver,Electric,,,ECU Coil ,,,,,,USD fork,,Monoshock,,,,,,2 Years,,,,Kingstone,"910 mm (35.8 inches) If adjustable, highest setting.",,1112 mm (43.8 inches),915 mm (36.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Classic ,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,903.0 ccm (55.10 cubic inches),"V2, four-stroke",49.6 HP (36.2  kW)) @ 5700 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 3700 RPM,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),"Injection. DFI® 34mm throttle bodies (2), with sub-throttle valves",Liquid,Belt   (final drive),,,,130/90-16 ,180/70-15 ,Single disc. Hydraulic. ,270 mm (10.6 inches),Single disc. Hydraulic. ,,,"680 mm (26.8 inches) If adjustable, lowest setting.",2465 mm (97.0 inches),1645 mm (64.8 inches),20.00 litres (5.28 US gallons),Pearl Storm Gray/Pearl Blizzard White,Electric,4,Single Overhead Cams (SOHC),TCBI with digital advance,5-speed,Wet multi-disc,"Semi-double cradle, high-tensile steel",32.0°,160 mm (6.3 inches),41mm Showa telescopic fork,150 mm (5.9 inches),"Uni-Trak® swingarm, 7-way adjustable spring preload",104 mm (4.1 inches),,298.1 kg (657.1 pounds),,,12 months unlimited mileage,,55° V-twin,,,,Kevlar-reinforced belt,1481 mm (58.3 inches),1005 mm (39.6 inches),135 mm (5.3 inches),,,Tank-mounted instrumentation,,,,,,,,,,,,,,,,,,,,,,
Yamaha SCR 950,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",53.6 HP (39.2  kW)) @ 5500 RPM,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 3000 RPM,,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,,Belt   (final drive),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU4,100/90-M19 ,140/80-R17 ,Single disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,,,"830 mm (32.7 inches) If adjustable, lowest setting.",2255 mm (88.8 inches),1575 mm (62.0 inches),13.00 litres (3.43 US gallons),"Racing red, Yamaha Black",Electric,,Single Overhead Cams (SOHC),TCI,5-speed,"Wet, Multiple Disc",Double cradle,29.0°,130 mm (5.1 inches),"Telescopic forks,   41  mm",135 mm (5.3 inches),Swingarm,110 mm (4.3 inches),,252.0 kg (555.6 pounds),,,,,,,"Spoked wheels, aluminium rims",,Constant Mesh,1170 mm (46.1 inches),895 mm (35.2 inches),145 mm (5.7 inches),,Wet sump,,4.00 litres (1.06 US gallons),4.30 litres (4.54 US quarts),,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan S Performance,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",60.4 HP (44.1  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6600 RPM,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Liquid,Chain   (final drive),4.40 litres/100 km (22.7 km/l or 53.46 mpg),102.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-18 ,160/60-17 ,Double disc. ABS. Two-piston calipers. ,250 mm (9.8 inches),Single disc. ABS. Single-piston caliper. ,,,"705 mm (27.8 inches) If adjustable, lowest setting.",2310 mm (90.9 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),"Metallic Flat Raw Greystone,  Ebony,  Metallic Flat Spark Black",Electric,,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,6-speed,,"Tubular diamond, steel",31.0°,120 mm (4.7 inches),41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,,Various seat height options,229.0 kg (504.9 pounds),,,12 Month Limited Warranty,,,,,,Sealed chain,1100 mm (43.3 inches),880 mm (34.6 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Vertigo Combat Vertical 125,2021,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,54.0 x 54.5 mm (2.1 x 2.1 inches),Injection. Electronic Fuel Injection.	Integrated injection driver. ,Liquid,Chain   (final drive),,,,1.60-21 ,2.15-18 ,Single disc. 4-piston ,150 mm (5.9 inches),Single disc. 2-piston ,66.6 kg (146.8 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",2110 mm (83.1 inches),1310 mm (51.6 inches),2.30 litres (0.61 US gallons),Green/black,Kick,,,,6-speed,Multi-disc oil wet adjustable preload,"25CrMo4 steel , aluminium 6082 subframe",,,Tech Factory,170 mm (6.7 inches),"Swingarm combined with REIGER 2 way monoshock with compression, rebound and spring preload adjustment",170 mm (6.7 inches),,,,,,,,Symmetric and centered silencer,Morad rims. Dunlop D803GP tires,,9z/48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSR TW 125 SM,2021,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)) @ 9000 RPM,,,,,Carburettor,Air,,1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,100/80-17 ,130/70-17 ,Single disc,,Single disc,138.0 kg (304.2 pounds),0.0778 HP/kg,,,,,"White, Red, Black",Electric & kick,,,,,,Steel,,,Telescopic fork,,Monoshock,,,,,,,"Sold in Algeria, Austria, Belgium, Cyprus, Germany, Greece, Italy, Latvia, Malta, Portugal, Switzerland.",,,,,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC TPI Six Days,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,293.0 ccm (17.88 cubic inches),"Single cylinder, two-stroke",,,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Injection,Liquid,Chain   (final drive),2.79 litres/100 km (35.8 km/l or 84.31 mpg),64.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc. Brembo 2-piston floating caliper,220 mm (8.7 inches),"Single disc. Brembo single-piston floating calliper, brake disc",103.9 kg (229.1 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",,1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/white/green/red,Electric,,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",Chrome-molybdenum steel central-tube frame,26.5°,,WP-USD Xplor 48 with preload adjuster,300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,,,,,Reed intake. ,,,,14:50 (13:50). Primary drive: 26:72.,,,370 mm (14.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Runner 125 White Soul,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9750 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8000 RPM,108.0 km/h (67.1 mph),,57.0 x 48.6 mm (2.2 x 1.9 inches),Carburettor,Liquid,Belt   (final drive),,,Euro 3,120/70-14 ,140/60-13 ,Single disc. Stainless steel floating disc with dual piston calliper,220 mm (8.7 inches),"Single disc. Stainless steel disc, calliper with two opposed pistons",,,"815 mm (32.1 inches) If adjustable, lowest setting.",1880 mm (74.0 inches),1340 mm (52.8 inches),8.70 litres (2.30 US gallons),Silver/grey,Electric,4,Single Overhead Cams (SOHC),CDI,Automatic,Automatic dry centrifuge type,Cradled in steel tubes with pressed steel,,,Telescopic fork 35mm,,Dual hydraulic shock absorbers,,,137.0 kg (302.0 pounds),,,,,Italian Leader engine,,,,Twist and go with CVT,,720 mm (28.3 inches),,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
