Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Rear suspension,Front tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Gearbox,Clutch,Driveline,Frame type,Front suspension,Rear tire,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Oil capacity,Color options,Electrical,Seat height,Top speed,Carrying capacity,Comments,Diameter,Fuel consumption,Greenhouse gases,Torque,Max RPM,Exhaust system,Valves per cylinder,Light
Zündapp Norma Luxsus Db234,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",8.7 HP (6.4  kW)) @ 4250 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,,,,,,,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,,,,4-speed,,,,Telescopic,3-19 ,,,,,,,,90.0 km/h (55.9 mph),,,,,,,,,,
BMW R51 3,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 5800 RPM,6.3:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22mm ,Overhead Valves (OHV),,Wet sump ,Air,Shaft drive (cardan)   (final drive),Telscopic,3.50-19.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,985 mm (38.8 inches),2130 mm (83.9 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),Kick,,4-speed,Dry-single plate-cable operated,,Steel single cradle,Cartridge,3.50-19.00 ,190.0 kg (418.9 pounds),,1400 mm (55.1 inches),,,,,135.0 km/h (83.9 mph),,,200 mm (7.9 inches),,,,,,,
BSA Golden Flash,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 4500 RPM,,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,,,,Air,Chain   (final drive),Twin shock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,190.0 kg (418.9 pounds),0.1842 HP/kg,,2130 mm (83.9 inches),,19.00 litres (5.02 US gallons),,,,,,Single cradle,Hydralic telescopic forks,3.25-19 ,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 6800 RPM,7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,Magneto,,Air,Chain   (final drive),Twin shock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,178.0 kg (392.4 pounds),0.1124 HP/kg,1050 mm (41.3 inches),2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Kick,,4-speed,Wet multiplate,,Single cradle,Telescopic,3.25-19 ,,,,,,,,137.0 km/h (85.1 mph),,,,,,,,,,
Lambretta 125LD Series 2,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4600 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,,Contact breaker  and  points,5%,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,84.8 kg (187.0 pounds),0.0766 HP/kg,,,,,,,3-speed,3 speed- hand changed,,Tubular steel,,4-8 ,,,,,,,,72.4 km/h (45.0 mph),,,,,,,,,,
Norton International Model 30,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 5500 RPM,7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Overhead Cams (OHC),,,Air,Chain   (final drive),,,,,Spoked,Single spring-mounted,,,,,,,Kick,,,,,Cradle,,,,,1391 mm (54.8 inches),,,,,150.0 km/h (93.2 mph),,,,,,,,,,
Sparta NL200,1954,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,59.0 x 72.0 mm (2.3 x 2.8 inches),Carburettor,,,,Air,Chain   (final drive),,3.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,,,13.00 litres (3.43 US gallons),,Villiers engine,,,,,,3.00-19 ,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1954,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,,,Carburettor. Single Tilloston,Sidevalves,Magneto Fairbanks-Morse,,Air,,Rigid,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,4-speed,,,,Telescopic,,,,,,,,,177.0 km/h (110.0 mph),,,,,,,,,,
Adler M 250,1954,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,135.0 kg (297.6 pounds),0.1185 HP/kg,,,,12.00 litres (3.17 US gallons),Kick,,4-speed,Wet multiplate,,Semi double cradle,,,,,,,,,,,,,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
Ariel NH 350 Red Hunter,1954,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Overhead Valves (OHV),Flywheel,Dual oil pumps,Air,Chain   (final drive),Plungers,3.00-20 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres,Dual seat,160.0 kg (352.7 pounds),0.1219 HP/kg,,2180 mm (85.8 inches),640 mm (25.2 inches),12.00 litres (3.17 US gallons),Kick,,4-speed,"Dry, multiplate",,Semi-double cradle,Telescopic fork,3.25-19 ,,,,3.40 litres (3.59 US quarts),Dark red,6V system.,,117.0 km/h (72.7 mph),,,178 mm (7.0 inches),,,,,1-into-1 pipes,,
Harley-Davidson Servi-Car GE,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,,,,,Leading link-Springer type,5.10-16 ,,,1549 mm (61.0 inches),,,,,101.0 km/h (62.8 mph),,,,,,,,,,
NSU 101 OSB,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,,Air,Chain   (final drive),,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,8.00 litres (2.11 US gallons),Kick,,,,,Pressed steel,,2.50-19 ,,,,,,,,85.0 km/h (52.8 mph),,,,,,,,,,
Sparta 250 Twin,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Twin, two-stroke",,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Magneto,,Air,,Twin shock-Swingarm,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,,,,,16.00 litres (4.23 US gallons),Kick,,,,,,Telescopic,3.25-16 ,,,,,,,,,,,,,,,,,,
