Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Compression,Fuel control,Ignition,Lubrication system,Clutch,Exhaust system,Frame type,Diameter,Fuel capacity,Color options,Starter,Engine details,Front suspension,Rear suspension,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Gearbox,Modifications compared to previous model,Light,Carrying capacity,Valves per cylinder,Comments,Seat height,Oil capacity,Driveline,Electrical
Moto Guzzi Alce,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 4000 RPM,90.0 km/h (55.9 mph),82.0 x 88.0 mm (3.2 x 3.5 inches),Carburettor. DellÓrto ,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,179.0 kg (394.6 pounds),0.0737 HP/kg,4.7:1,,Marelli,Wet sump ,,,,,13.50 litres (3.57 US gallons),,Kick,,,,,,,,1455 mm (57.3 inches),,,,,,,,,,,,
NSU 601 OSL WH,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 4300 RPM,110.0 km/h (68.4 mph),85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor. Amal,Air,Chain   (final drive),3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,190.0 kg (418.9 pounds),0.1263 HP/kg,,,,,,,,,13.50 litres (3.57 US gallons),,Kick,,,,,970 mm (38.2 inches),2225 mm (87.6 inches),845 mm (33.3 inches),1420 mm (55.9 inches),,,,,,,,,,,,
Ariel 4G Square Four 1000,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Air,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,193.0 kg (425.5 pounds),0.1813 HP/kg,6.0:1,Overhead Valves (OHV),,,,,Tubular single loop,178 mm (7.0 inches),23.00 litres (6.08 US gallons),Red/silver,Kick,Double twin cylinder arranged as a square,Telescopic fork,Plunger-link spring,,,2083 mm (82.0 inches),,1422 mm (56.0 inches),,,4-speed,,,,2,Also called ´Squariel´.,,,,
Excelsior J. 14 500 Manxman,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,150.0 km/h (93.2 mph),82.0 x 94.0 mm (3.2 x 3.7 inches),Carburettor. Amal,Liquid,Chain   (final drive),3-27 ,3-27 ,Expanding brake (drum brake),Expanding brake (drum brake),,,164.3 kg (362.2 pounds),,6.7:1,,,,,,,,,,Kick,,,,,,,,1334 mm (52.5 inches),,,4-speed,,,,,,"711 mm (28.0 inches) If adjustable, lowest setting.",,,
NSU 251 OSL WH,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.7  kW)) @ 5300 RPM,95.0 km/h (59.0 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Carburettor. Amal,Air,Chain   (final drive),3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,144.0 kg (317.5 pounds),0.0729 HP/kg,,,,,,,Steel,,11.00 litres (2.91 US gallons),,Kick,,,,,950 mm (37.4 inches),2040 mm (80.3 inches),780 mm (30.7 inches),,,,,,,,,,,,,
NSU 601 OSB,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 4950 RPM,,85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor. Amal,Air,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,150.0 kg (330.7 pounds),0.1733 HP/kg,,,,,,,,,,,Kick,,,,,1000 mm (39.4 inches),2200 mm (86.6 inches),850 mm (33.5 inches),1420 mm (55.9 inches),,,,,,,,,,,,
BMW R12 Twin carb,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Amal,Air,,3.50-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,Spring-mounted seat,,,5.2:1,Overhead Valves (OHV),,Wet sump ,Dry multiplate-cable operated,,Steel-doble cradle,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,Kick,,Cartrige,Rigid-,185.0 kg (407.9 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),,,,4-speed,,,300,,,,,,
Harley-Davidson Model UL,1939,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",,,,Carburettor,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,,,Sidevalves,,Dry sump,,,,,,,,,Leading link -coil springs,Rigid-,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,Sidevalves,,,,,,,12.87 litres (3.40 US gallons),,,,Leading link-Springer type,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),,,,,,,,,,,,
Velocette KTT,1939,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,185.1 km/h (115.0 mph),,Carburettor,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,Overhead Cams (OHC),,,Four speed ,,,70 mm (2.8 inches),15.14 litres (4.00 US gallons),,,,Webb girder forks,Swingarm,,,,,,,,,,,,,,,0.90 litres (0.95 US quarts),,
