Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Harley-Davidson XLH Sportster 883 Hugger,2003,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 4400 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),,Belt   (final drive),100/90-19 57H ,130/90-B16 73H ,,,235.0 kg (518.1 pounds),,,2230 mm (87.8 inches),,12.50 litres (3.30 US gallons),9.0:1,,Carburettor,Overhead Valves (OHV),Air,,,,,1505 mm (59.3 inches),,119 mm (4.7 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda CBZ,2003,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Twin, four-stroke",16.0 HP (11.7  kW)),,,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,2794 mm (110.0 inches),,15.00 litres (3.96 US gallons),,,Carburettor,,Air,,,,,,2.50 litres (0.66 US gallons),,"Red, grey, blue, black, silver, gold",,Inverted forks,,,analog,,Wet plate,CrMo steel,,Electric & kick,113.0 km/h (70.2 mph),1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,5.00 seconds,11.00 seconds,19.00 seconds,,,,,,,,,,
Suzuki RM 250,2003,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),5-speed,Chain   (final drive),80/100-21 ,110/90-19 ,Single disc,Single disc,96.0 kg (211.6 pounds),,"965 mm (38.0 inches) If adjustable, lowest setting.",2175 mm (85.6 inches),840 mm (33.1 inches),8.00 litres (2.11 US gallons),9.0:1,,Carburettor,,Liquid,,,,,1470 mm (57.9 inches),1.80 litres (0.48 US gallons),350 mm (13.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTB Night Train,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,305.0 kg (672.4 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",2420 mm (95.3 inches),,19.70 litres (5.20 US gallons),8.8:1,,Carburettor,,Air,,,,,1695 mm (66.7 inches),,139 mm (5.5 inches),"Vivid black, gunmetal pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng Monkey 50,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,4-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),60.0 kg (132.3 pounds),,"650 mm (25.6 inches) If adjustable, lowest setting.",,,4.50 litres (1.19 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Lightning XB9S,2003,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",984.0 ccm (60.04 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)) @ 7200 RPM,92.2 Nm (9.4 kgf-m or 68.0 ft.lbs) @ 5500 RPM,88.9 x 79.4 mm (3.5 x 3.1 inches),5-speed,Belt   (final drive),120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,175.0 kg (385.8 pounds),0.5257 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",1924 mm (75.7 inches),831 mm (32.7 inches),14.00 litres (3.70 US gallons),10.0:1,2,Injection,Overhead Valves (OHV),Air,120 mm (4.7 inches),127 mm (5.0 inches),240 mm (9.4 inches),1232 mm (48.5 inches),1321 mm (52.0 inches),,127 mm (5.0 inches),"Midnight Black, Sunfire Yellow",,"Showa® inverted fork with adjustable compression damping, rebound damping and spring preload","Showa® shock absorber with adjustable compression damping, rebound damping and spring preload",,,,,Aluminum Frame with Uniplanar powertrain vibration isolation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Agostini,2003,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 12600 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 10500 RPM,,,,,,,,188.0 kg (414.5 pounds),0.7181 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,22.00 litres (5.81 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1398 mm (55.0 inches),,,Red/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson VRSCA V-Rod,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"V2, four-stroke",,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6600 RPM,100.0 x 72.0 mm (3.9 x 2.8 inches),,,120/70-ZR19 60W ,180/55-ZR18 74W ,,,285.0 kg (628.3 pounds),,"660 mm (26.0 inches) If adjustable, lowest setting.",2435 mm (95.9 inches),,14.00 litres (3.70 US gallons),11.3:1,,Injection,,Liquid,,,,,1710 mm (67.3 inches),,130 mm (5.1 inches),"2-tone sterling silver & vivid black, anodised aluminum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1300 R Hayabusa,2003,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1299.0 ccm (79.26 cubic inches),"In-line four, four-stroke",175.0 HP (127.7  kW)) @ 9800 RPM,138.2 Nm (14.1 kgf-m or 101.9 ft.lbs) @ 7000 RPM,81.0 x 63.0 mm (3.2 x 2.5 inches),6-speed,Chain   (final drive),120/70-17 ,190/50-17 ,Double disc,Single disc,217.0 kg (478.4 pounds),0.8065 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),740 mm (29.1 inches),21.00 litres (5.55 US gallons),11.0:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,,,,1485 mm (58.5 inches),,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA SR 500 Gold,2003,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7000 RPM,,,,,,,,,145.0 kg (319.7 pounds),0.2345 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,14.00 litres (3.70 US gallons),,,,Overhead Cams (OHC),,,,,,1410 mm (55.5 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,2003,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,76.0 x 65.0 mm (3.0 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,170/60-ZR17 ,Double disc,Single disc,235.0 kg (518.1 pounds),0.4596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2152 mm (84.7 inches),790 mm (31.1 inches),25.00 litres (6.61 US gallons),10.6:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,255 mm (10.0 inches),1430 mm (56.3 inches),1490 mm (58.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST4S ABS,2003,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",117.0 HP (85.4  kW)) @ 8750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,217.0 kg (478.4 pounds),0.5392 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,21.00 litres (5.55 US gallons),11.5:1,4,Injection,Desmodromic valve control,Liquid,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),1180 mm (46.5 inches),1430 mm (56.3 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Mean Streak,2003,Custom / cruiser," 4.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 5500 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 3000 RPM,,,,,,,,289.0 kg (637.1 pounds),0.2457 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),,,,,,,,,,1705 mm (67.1 inches),,,"Blue, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50 Tuono,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),,,,,,,,,,1280 mm (50.4 inches),2.60 litres (0.69 US gallons),,"Black, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Supersport 1000 DS Full-fairing,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",85.5 HP (62.4  kW)) @ 7750 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 5750 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.0:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),145 mm (5.7 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1395 mm (54.9 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 GS,2003,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 7000 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 5500 RPM,,,,,,,,249.0 kg (549.0 pounds),0.3414 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,22.00 litres (5.81 US gallons),,,,,,,,,,1509 mm (59.4 inches),,,"Black, Silver, Yellow, Blue/White",,,,,,,,,,,,,,,,,,,,,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Tomos Flexer 50,2003,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Automatic,,,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,,,4.50 litres (1.19 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC 125,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 7200 RPM,,,,,,,,130.0 kg (286.6 pounds),0.1154 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1370 mm (53.9 inches),4.00 litres (1.06 US gallons),,"Red, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple,2003,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",120.0 HP (87.6  kW)) @ 9100 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5100 RPM,79.0 x 65.0 mm (3.1 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,189.0 kg (416.7 pounds),0.6349 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2115 mm (83.3 inches),790 mm (31.1 inches),21.00 litres (5.55 US gallons),12.0:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,220 mm (8.7 inches),1250 mm (49.2 inches),1429 mm (56.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 CL,2003,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 3000 RPM,,,,,,,,308.0 kg (679.0 pounds),0.1981 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,,17.50 litres (4.62 US gallons),,,,,,,,,,1641 mm (64.6 inches),,,"Silver, Blue, Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2003,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 4000 RPM,76.0 x 65.0 mm (3.0 x 2.6 inches),6-speed,Chain   (final drive),110/80-R 18 ,150/80-R 16 ,Single disc,Single disc,220.0 kg (485.0 pounds),0.3182 HP/kg,"776 mm (30.6 inches) If adjustable, lowest setting.",2280 mm (89.8 inches),810 mm (31.9 inches),15.00 litres (3.96 US gallons),10.0:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,285 mm (11.2 inches),1190 mm (46.9 inches),1580 mm (62.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125 L,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,57.0 x 48.8 mm (2.2 x 1.9 inches),5-speed,Chain   (final drive),70/100-19 ,90/100-16 ,Single disc,Expanding brake (drum brake),81.0 kg (178.6 pounds),,"805 mm (31.7 inches) If adjustable, lowest setting.",1885 mm (74.2 inches),770 mm (30.3 inches),6.60 litres (1.74 US gallons),9.5:1,,Carburettor,Single Overhead Cams (SOHC),Air,,,,,1270 mm (50.0 inches),,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST4,2003,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 9000 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 7500 RPM,94.0 x 66.0 mm (3.7 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,215.0 kg (474.0 pounds),0.4884 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,21.00 litres (5.55 US gallons),11.1:1,4,Injection,Desmodromic valve control,Liquid,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),1180 mm (46.5 inches),1430 mm (56.3 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 1000 DS,2003,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",84.0 HP (61.3  kW)) @ 8000 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 5000 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,200.0 kg (440.9 pounds),0.4200 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),,20.00 litres (5.28 US gallons),10.0:1,2,Injection,Desmodromic valve control,Air,165 mm (6.5 inches),141 mm (5.6 inches),245 mm (9.6 inches),1280 mm (50.4 inches),1462 mm (57.6 inches),,,"Two-tone grey, red.
Frame: red, black.
Wheels: light grey.",24.0°,Showa 43 mm fully adjustable upside-down fork,Progressive linkage with fully adjustable Showa monoshock; hydraulic remote pre-load control,,,,,Tubular steel trellis frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 800 DARK i.e.,2003,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8250 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 6500 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),6-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,179.0 kg (394.6 pounds),0.4078 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,15.00 litres (3.96 US gallons),10.4:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),795 mm (31.3 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Hipster 125,2003,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 9000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6500 RPM,,,,,,,,150.0 kg (330.7 pounds),0.0767 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,Red/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 999 S,2003,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",136.0 HP (99.3  kW)) @ 9750 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 8000 RPM,100.0 x 63.5 mm (3.9 x 2.5 inches),6-speed,Chain   (final drive),120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,199.0 kg (438.7 pounds),0.6834 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),,15.50 litres (4.10 US gallons),11.4:1,4,Injection,Desmodromic valve control,Liquid,120 mm (4.7 inches),128 mm (5.0 inches),240 mm (9.4 inches),1090 mm (42.9 inches),1420 mm (55.9 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC Electra Glide Classic,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,370.0 kg (815.7 pounds),,"735 mm (28.9 inches) If adjustable, lowest setting.",2500 mm (98.4 inches),,18.80 litres (4.97 US gallons),8.8:1,,Carburettor,,Air,,,,,1592 mm (62.7 inches),,130 mm (5.1 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Ballabio,2003,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 5400 RPM,,,,,,,,221.0 kg (487.2 pounds),0.4072 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,20.70 litres (5.47 US gallons),,,,,,,,,,1490 mm (58.7 inches),5.00 litres (1.32 US gallons),,"Red, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Silverfox 50,2003,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,Single disc,Expanding brake (drum brake),75.0 kg (165.3 pounds),,,,,5.80 litres (1.53 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FX 650 E,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.0 mm (3.9 x 3.2 inches),6-speed,Chain   (final drive),90/90-21 ,130/80-18 ,Single disc,Single disc,110.4 kg (243.4 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),12.2:1,4,Carburettor,Single Overhead Cams (SOHC),Liquid,295 mm (11.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,380 mm (15.0 inches),,,WP Suspension MXMA 4860-HBG MX 48 mm,WP Suspension PDS 5018-HBG MX,,,,,Exclusive heat treated BTR/25 CrMo4 steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 525 MXC Desert Racing,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",,,95.0 x 72.0 mm (3.7 x 2.8 inches),6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,119.8 kg (264.1 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),11.0:1,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1481 mm (58.3 inches),,385 mm (15.2 inches),,,WP-USD 48 MA,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Majesty 125,2003,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),,,,Belt   (final drive),,,Single disc,Single disc,,,"720 mm (28.3 inches) If adjustable, lowest setting.",1990 mm (78.3 inches),,10.00 litres (2.64 US gallons),,,Carburettor,Overhead Cams (OHC),Liquid,41 mm (1.6 inches),,,,,,,,,,,,,,,,145.0 kg (319.7 pounds),Electric,115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 7000 RPM,54.0 x 54.5 mm (2.1 x 2.1 inches),6-speed,Chain   (final drive),100/80-17 ,130/70-17 ,Single disc,Single disc,132.0 kg (291.0 pounds),0.1136 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),670 mm (26.4 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Hussar,2003,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,Single disc,Expanding brake (drum brake),87.5 kg (192.9 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",,,5.20 litres (1.37 US gallons),,,,,,,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000,2003,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",953.0 ccm (58.15 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 10000 RPM,95.7 Nm (9.8 kgf-m or 70.6 ft.lbs) @ 8000 RPM,,,,,,,,198.0 kg (436.5 pounds),0.6313 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1420 mm (55.9 inches),,,"Orange, Green, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
