Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Motorhispania Ryz 50 Pro Racing Super Motard,2007,Super motard," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor. PHBN12,Liquid,,100/80-17 ,130/70-17 ,Single disc. Galfer Wave,Single disc. Galfer Wave,97.0 kg (213.8 pounds),,1980 mm (78.0 inches),,,,,,Overhead Cams (OHC),Chain   (final drive),"Steel, double bean",,"857 mm (33.7 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),7.80 litres (2.06 US gallons),Electric,Uses a Minarelli AM6 engine.,40.3 x 39.0 mm (1.6 x 1.5 inches),Mulitdisc in oil,,,,,,"Black, blue",CDI,,Inverted hydaulic fork,Olle monoshock absorber,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000,2007,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,Injection,Liquid,6-speed,120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,172.0 kg (379.2 pounds),1130 mm (44.5 inches),2045 mm (80.5 inches),720 mm (28.3 inches),,,12.5:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"810 mm (31.9 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1415 mm (55.7 inches),18.00 litres (4.76 US gallons),,,73.4 x 59.0 mm (2.9 x 2.3 inches),,,,,,,"Blue/White, Black/Orange, Yellow/Silver",Digital/transistorized,,"Inverted telescopic, coil spring, fully adjustable spring preload, high  and  low speed compression and rebound damping","Link-type, gas/oil-damped, fully adjustable spring preload, high  and  low speed compression and rebound damping",Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang BD 125-2,2007,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,157.0 ccm (9.58 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,,,"Single disc. Hand operation, disc","Expanding brake (drum brake). Kick operation, drum",105.0 kg (231.5 pounds),1170 mm (46.1 inches),2060 mm (81.1 inches),730 mm (28.7 inches),,85.0 km/h (52.8 mph),,,,,,,,,1280 mm (50.4 inches),14.00 litres (3.70 US gallons),Electric & kick,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R 125 L,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  20mm Mikuni,Air,5-speed,70/80-19 ,90/90-16 ,Single disc,Expanding brake (drum brake),78.0 kg (172.0 pounds),1085 mm (42.7 inches),1885 mm (74.2 inches),795 mm (31.3 inches),,,10.0:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"805 mm (31.7 inches) If adjustable, lowest setting.",295 mm (11.6 inches),1270 mm (50.0 inches),6.58 litres (1.74 US gallons),,,54.0 x 54.0 mm (2.1 x 2.1 inches),,,,,,,,CDI,,30mm telescopic fork,Single shock,,110 mm (4.3 inches),,,180 mm (7.1 inches),168 mm (6.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 RE,2007,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 8000 RPM,Carburettor.  Mikuni TM28-92,Liquid,6-speed,80/90-21 ,110/80-18 ,Single disc,Single disc,116.0 kg (255.7 pounds),1185 mm (46.7 inches),2205 mm (86.8 inches),795 mm (31.3 inches),14.8 HP (10.8  kW)) @ 8000 RPM,,6.7:1,,,,Front suspension system:,0.1272 HP/kg,"915 mm (36.0 inches) If adjustable, lowest setting.",315 mm (12.4 inches),1415 mm (55.7 inches),10.70 litres (2.83 US gallons),Electric,,56.0 x 50.7 mm (2.2 x 2.0 inches),,,,,,,,CDI,,Telescopic fork,Monocross,Autolube,220 mm (8.7 inches),,,120 mm (4.7 inches),200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
TVS Victor GLX 125,2007,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7500 RPM,Carburettor,Air,4-speed,2.75-18 ,3.00-18 ,Single disc,Expanding brake (drum brake),,,,,9.6 HP (7.0  kW)) @ 5000 RPM,,9.2:1,,Overhead Cams (OHC),,,,,,1250 mm (49.2 inches),13.00 litres (3.43 US gallons),,Optinal drum front brake,54.5 x 53.5 mm (2.1 x 2.1 inches),,,,,,118.0 kg (260.1 pounds),"Blue, blue/silver, red/silver, yellow, green",Digital,,Telescopic oil-damped,Hydraulic with co-axial spring,,110 mm (4.3 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1300,2007,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1284.0 ccm (78.35 cubic inches),"In-line four, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6000 RPM,,Liquid,5-speed,120/70-17 ,180/55-17 ,"Double disc. with four-piston brake pliers, ABS","Single disc. piston brake pliers, ABS",234.0 kg (515.9 pounds),1120 mm (44.1 inches),2220 mm (87.4 inches),790 mm (31.1 inches),114.0 HP (83.2  kW)) @ 7500 RPM,,9.6:1,,,Chain   (final drive),,0.4871 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1515 mm (59.6 inches),21.00 litres (5.55 US gallons),Electric,,78.0 x 67.2 mm (3.1 x 2.6 inches),,,,Euro 2/u-Kat,,,,,,teleskopgabel,Rocker of 2 shock struts,,256 mm (10.1 inches),,,43 mm (1.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOR MX 530 Motocross,2007,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin FCR 39,Liquid,5-speed,90/90-21 ,130/90-19 ,Single disc,Single disc,112.0 kg (246.9 pounds),,2160 mm (85.0 inches),,,,12.1:1,4,Single Overhead Cams (SOHC),Chain   (final drive),"Perimetral frame, CrMo, Oval cross-section spars, aluminium rear frame",,,360 mm (14.2 inches),,9.00 litres (2.38 US gallons),Kick,Optional 3-speed gearbox,97.0 x 60.1 mm (3.8 x 2.4 inches),Hidraulic wet multi-plate,,,,,,,Electronic,,Aluminium forging with extruded cone shaped arms,"Single progressive hydraulic Öhlins shock absorber, stroke 295 mm, low-high speed adjustable preloadm extension and compression",,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinlun JL QT-50-4,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6000 RPM,Carburettor,Air,Automatic,,,Single disc,Expanding brake (drum brake),85.0 kg (187.4 pounds),1030 mm (40.6 inches),1870 mm (73.6 inches),755 mm (29.7 inches),2.3 HP (1.7  kW)) @ 7500 RPM,45.0 km/h (28.0 mph),10.5:1,,,Belt   (final drive),,0.0271 HP/kg,,120 mm (4.7 inches),1280 mm (50.4 inches),4.50 litres (1.19 US gallons),Electric & kick,,39.0 x 41.5 mm (1.5 x 1.6 inches),"Dry, Multi-Disc Type",2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"Red, Blue, Yellow",C.D.I,,,,Compress  and  Splash Combined Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB 101R,2007,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,Air,Automatic,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),81.0 kg (178.6 pounds),1075 mm (42.3 inches),1695 mm (66.7 inches),650 mm (25.6 inches),4.9 HP (3.6  kW)) @ 7500 RPM,,7.8:1,,,Belt   (final drive),,0.0605 HP/kg,,,,5.10 litres (1.35 US gallons),Electric & kick,,41.0 x 37.4 mm (1.6 x 1.5 inches),C.V.T,,,,,,"Red, Black, Blue",C.D.I,,,,Oil Pump Separate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Mulhacen 125 Cafe,2007,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,120/80-18 ,150/70-18 ,Single disc,Single disc,,,1961 mm (77.2 inches),,12.0 HP (8.8  kW)) @ 8000 RPM,,10.1:1,,,Chain   (final drive),,,,,1370 mm (53.9 inches),,Kick,,54.0 x 54.0 mm (2.1 x 2.1 inches),Multiplate,,,,,,"Grey, black",,,"Hydraulic fork, 36 mm",Monoshock,,246 mm (9.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL200GY-3,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",15.5 Nm (1.6 kgf-m or 11.4 ft.lbs) @ 7200 RPM,,Air,,2.75-21 ,4.10-18 ,Single disc,Single disc,115.0 kg (253.5 pounds),1210 mm (47.6 inches),2170 mm (85.4 inches),890 mm (35.0 inches),16.8 HP (12.2  kW)) @ 8000 RPM,95.0 km/h (59.0 mph),9.2:1,,,Chain   (final drive),,0.1457 HP/kg,,,1350 mm (53.1 inches),,,,69.0 x 54.0 mm (2.7 x 2.1 inches),,,,,,,,CDI Electronic ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot XR6 Sport,2007,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor,Liquid,6-speed,90/90-16 ,120/80-16 ,Single disc,Single disc,90.0 kg (198.4 pounds),1100 mm (43.3 inches),1865 mm (73.4 inches),750 mm (29.5 inches),,,,,,Chain   (final drive),,,"835 mm (32.9 inches) If adjustable, lowest setting.",,,12.10 litres (3.20 US gallons),Electric,,,,,,,,,,,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 660 Supermoto S,2007,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",,Injection,,,120/70-17 ,160/60-17 ,Single disc,Single disc,180.0 kg (396.8 pounds),,,,,,,,,Chain   (final drive),,,"900 mm (35.4 inches) If adjustable, lowest setting.",,1530 mm (60.2 inches),12.50 litres (3.30 US gallons),,Trimmed version.,100.0 x 84.0 mm (3.9 x 3.3 inches),,,,,,,,,,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly SuperSonic 50,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,Air,Automatic,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),77.0 kg (169.8 pounds),1160 mm (45.7 inches),1780 mm (70.1 inches),675 mm (26.6 inches),3.7 HP (2.7  kW)) @ 5500 RPM,,7.2:1,,,,,0.0481 HP/kg,,,1250 mm (49.2 inches),,Electric & kick,,40.0 x 39.2 mm (1.6 x 1.5 inches),,,,,,,,CDI,,Up side Down Grease Shock Absorber,Hydraulic Shock Absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC (Pro Racing Cycles) LX-RR Works,2007,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",8.2 Nm (0.8 kgf-m or 6.0 ft.lbs) @ 11200 RPM,Carburettor. PRC 19MM,Liquid,Automatic,100/90-12 ,3.0-10 ,Single disc,Single disc,36.0 kg (79.4 pounds),914 mm (36.0 inches),1346 mm (53.0 inches),787 mm (31.0 inches),13.5 HP (9.9  kW)) @ 14000 RPM,80.5 km/h (50.0 mph),13.5:1,,Port control,Chain   (final drive),"Youth group Aluminum Frame, with tapered roller bearing in the front stem",0.3750 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",279 mm (11.0 inches),1016 mm (40.0 inches),,Kick,,39.5 x 40.0 mm (1.6 x 1.6 inches),One Disk Racing clutch,,,,26.0°,,,Progressive CDI,125 mm (4.9 inches),Marzocchi 35mm Inverted Shiver Forks,Olins 36DPW,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,14800,,,,,,
Malaguti Grizzly 10 Enduro,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto SHA 14/12,Liquid,Automatic,2.50-10 ,2.50-10 ,Single disc,Expanding brake (drum brake),,,,,,,,,,Chain   (final drive),,,"620 mm (24.4 inches) If adjustable, lowest setting.",,,,Kick,"Available in enduro, cross and super motard versions. Intended for children.",,,,,,,,"Blue, orange, red, yellow",,,,,2% oil mixture,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR&S VUN Standard,2007,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",58.9 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 5000 RPM,Injection,Liquid,5-speed,120/70-ZRX17 ,160/60-ZRX17 ,Single disc,Single disc,135.0 kg (297.6 pounds),,1980 mm (78.0 inches),,54.0 HP (39.4  kW)) @ 7000 RPM,,9.7:1,4,Double Overhead Cams/Twin Cam (DOHC),,Steel tubes and machined light alloy plates compound,0.4000 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1368 mm (53.9 inches),14.00 litres (3.70 US gallons),,CR and S is an abbreviation of Cafe Racers  and  Superbikes.,100.0 x 83.0 mm (3.9 x 3.3 inches),,,,,,,,,,Hydraulic fork,Swingarm,,220 mm (8.7 inches),,,120 mm (4.7 inches),128 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTB Softail Night Train,2007,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",119.2 Nm (12.2 kgf-m or 87.9 ft.lbs) @ 2750 RPM,Injection. Electronic Sequential Port Fuel Injection (ESPFI),Air,6-speed,100/90-H19 ,200/55-R17 ,Single disc,Single disc,297.6 kg (656.0 pounds),,2413 mm (95.0 inches),,,,9.2:1,,,Belt   (final drive),,,"681 mm (26.8 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1638 mm (64.5 inches),18.92 litres (5.00 US gallons),Electric,,95.3 x 111.3 mm (3.8 x 4.4 inches),Multi-plate with diaphragm spring in oil bath,4.43 litres/100 km (22.6 km/l or 53.10 mpg),102.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",32.0°,309.3 kg (682.0 pounds),"Vivid black, black cherry pearl, black pearl, black denim, Pacific blue denim (new), pewter denim (new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italjet Fast Boy 10,2007,"Minibike, cross"," 3.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",47.0 ccm (2.87 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Automatic,2.75-10 ,2.75-10 ,Single disc,Single disc,25.0 kg (55.1 pounds),750 mm (29.5 inches),1150 mm (45.3 inches),590 mm (23.2 inches),,,,,,Chain   (final drive),,,"600 mm (23.6 inches) If adjustable, lowest setting.",,,1.00 litres (0.26 US gallons),Kick,Intended for children,,,,,,,,Blue/white,,,Telescopic,Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6 ABS,2007,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",51.6 Nm (5.3 kgf-m or 38.1 ft.lbs) @ 5270 RPM,Injection,Liquid,,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,185.0 kg (407.9 pounds),1085 mm (42.7 inches),2095 mm (82.5 inches),755 mm (29.7 inches),76.4 HP (55.8  kW)),,12.2:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Aluminium die-cast, diamond shaped",0.4131 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1440 mm (56.7 inches),19.40 litres (5.13 US gallons),Electric,,65.5 x 44.5 mm (2.6 x 1.8 inches),"Wet, multiple-disc",,,,,,,TCI,,Telescopic forks,Swingarm (monocross),Wet sump,245 mm (9.6 inches),,,130 mm (5.1 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Fun Cruiser (II),2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,Oil & air,Automatic,90/90-6 ,90/90-6 ,Expanding brake (drum brake),Expanding brake (drum brake),,950 mm (37.4 inches),1240 mm (48.8 inches),550 mm (21.7 inches),,,,,,,,,"650 mm (25.6 inches) If adjustable, lowest setting.",,890 mm (35.0 inches),,Electric,,,,,,,,,"Blue, Red, Gray, While, Yellow",,,Dual spring,Oil damped single shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE610,2007,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.0 ccm (35.15 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin,Liquid,6-speed,,,Single disc. Bremo,Single disc. Bremo,140.0 kg (308.6 pounds),,,,53.0 HP (38.7  kW)) @ 7000 RPM,,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,0.3786 HP/kg,,,,,Electric,Steet legal.,98.0 x 76.4 mm (3.9 x 3.0 inches),Wet multiplate,,,,,,Red/white,,,,,,220 mm (8.7 inches),,The new version has had some highly significant modifications to the cylinder and head.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE450,2007,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,Carburettor. 41mm Keihin FCR,Liquid,6-speed,,,Single disc,Single disc,107.8 kg (237.7 pounds),,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,Electric & kick,Street legal.,97.0 x 60.8 mm (3.8 x 2.4 inches),Wet / Multiplate / 6 spd,,,,,,,,,Marzoochi,Sachs,,,,"The bike presents a new kick starter that helps the start even in case of electric starter´s battery black out. Other new features are the grips, changed in the colour and component, the seat has a new anti sliding cover and there´s a new automatic decompression system. The whole suspension system has new calibrations that help the smoothness and feeling of the bike during offroad riding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL200GY,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",15.5 Nm (1.6 kgf-m or 11.4 ft.lbs) @ 7200 RPM,,Air,,2.75-21 ,4.10-18 ,Single disc. Break Performance: ¡Ü7m/30km/h,Single disc,115.0 kg (253.5 pounds),1230 mm (48.4 inches),2180 mm (85.8 inches),890 mm (35.0 inches),16.8 HP (12.2  kW)) @ 8000 RPM,95.0 km/h (59.0 mph),9.2:1,,,Chain   (final drive),,0.1457 HP/kg,,,1355 mm (53.3 inches),,Electric & kick,,69.0 x 54.0 mm (2.7 x 2.1 inches),,,,,25.0°,,,CDI Electronic ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTC Softail Custom,2007,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",119.2 Nm (12.2 kgf-m or 87.9 ft.lbs) @ 2750 RPM,Injection. Electronic Sequential Port Fuel Injection (ESPFI),Air,6-speed,100/90-H19 ,200/55-R17 ,Single disc,Single disc,304.8 kg (672.0 pounds),,2400 mm (94.5 inches),,,,9.2:1,,,Belt   (final drive),,,"719 mm (28.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1638 mm (64.5 inches),18.92 litres (5.00 US gallons),Electric,,95.3 x 111.3 mm (3.8 x 4.4 inches),Multi-plate with diaphragm spring in oil bath,4.43 litres/100 km (22.6 km/l or 53.10 mpg),102.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",32.0°,318.9 kg (703.0 pounds),"Vivid black, fire red pearl, deep cobalt pearl, two-tone suede blue pearl and vivid black (new), two-tone black cherry pearl and pewter pearl (new), two-tone fire red pearl and black pearl (new), two-tone deep cobalt pearl and pewter pearl (new), two-tone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO EVO G-Max 150,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.1 ccm (9.16 cubic inches),"Single cylinder, two-stroke",11.8 Nm (1.2 kgf-m or 8.7 ft.lbs) @ 6250 RPM,,Air,,120/60-13 ,130/60-13 ,Single disc,Single disc,129.0 kg (284.4 pounds),1170 mm (46.1 inches),1855 mm (73.0 inches),730 mm (28.7 inches),11.6 HP (8.5  kW)) @ 7750 RPM,103.0 km/h (64.0 mph),9.5:1,,,,Steel Tube,0.0899 HP/kg,,,1365 mm (53.7 inches),7.50 litres (1.98 US gallons),Electric & kick,,57.5 x 57.8 mm (2.3 x 2.3 inches),Centrifugal,,,,,,"Blue, Gray, Silver Gray, Red",CDI,,Telescope,6-Bar Linkage,Compress / Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AG 100,2007,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,,Air,6-speed,3.00-19 ,3.00-19 ,Single disc,Single disc,99.0 kg (218.3 pounds),1080 mm (42.5 inches),2110 mm (83.1 inches),930 mm (36.6 inches),,,6.6:1,,,Chain   (final drive),Alu semi-double cradle,,"998 mm (39.3 inches) If adjustable, lowest setting.",388 mm (15.3 inches),1315 mm (51.8 inches),8.00 litres (2.11 US gallons),Kick,For agricultural use in the Australian market.,52.0 x 45.6 mm (2.0 x 1.8 inches),,,,,,,,CDI,,,,Autolube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50,2007,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell’Orto PHVA - Ø14,Liquid,6-speed,110/80-17 ,130/70-17 ,Single disc,Single disc,,1100 mm (43.3 inches),1965 mm (77.4 inches),720 mm (28.3 inches),,,11.5:1,,,,Aluminium twin beam frame with extruded profiles and internal reinforcement,,,,1311 mm (51.6 inches),13.00 litres (3.43 US gallons),,,39.9 x 40.0 mm (1.6 x 1.6 inches),Multiplate,,,,,,,,,40 mm upside down fork,Double reinforced member aluminium swingarm with bracing arch; hydraulic monoshock;,Automatic mixer,180 mm (7.1 inches),,,120 mm (4.7 inches),110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinlun JL 125-11,2007,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Twin, four-stroke",8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 9000 RPM,Carburettor,Air,5-speed,110/90-16 ,130/90-15 ,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),1090 mm (42.9 inches),2210 mm (87.0 inches),810 mm (31.9 inches),,112.7 km/h (70.0 mph),9.4:1,,,Chain   (final drive),,,,140 mm (5.5 inches),1410 mm (55.5 inches),10.00 litres (2.64 US gallons),Electric,,44.0 x 40.8 mm (1.7 x 1.6 inches),"Manual Wet, Multi-Disc",2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"Black, Blue, Yellow, Silver Grey, Orange",C.D.I,,,,Compress  and  Splash Combined Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 85,2007,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,Carburettor. PWK28 x 1,Liquid,6-speed,70/80-M17 ,90/90-M14 ,Single disc,Single disc,66.2 kg (146.0 pounds),1161 mm (45.7 inches),1821 mm (71.7 inches),757 mm (29.8 inches),,,8.2:1,,,Chain   (final drive),,,"864 mm (34.0 inches) If adjustable, lowest setting.",351 mm (13.8 inches),1257 mm (49.5 inches),4.92 litres (1.30 US gallons),,,47.5 x 47.8 mm (1.9 x 1.9 inches),,,,,,,,CDI,,"Telescopic Fork, coil spring/oil damper, 10.8´","Swingarm (link, suspension), coil spring/gas-oil damper, 11.3´",,146 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
